GEO_ID,TtlPop_Hsp_2010,TtlPop_Hsp_2011,TtlPop_Hsp_2012,TtlPop_Hsp_2013,TtlPop_Hsp_2014,TtlPop_Hsp_2015,TtlPop_Hsp_2016,TtlPop_Hsp_2017,TtlPop_Hsp_2018,TtlPop_Hsp_2019,WHTE_2010,WHTE_2011,WHTE_2012,WHTE_2013,WHTE_2014,WHTE_2015,WHTE_2016,WHTE_2017,WHTE_2018,WHTE_2019,TtlPop_SxAge_2010,TtlPop_SxAge_2011,TtlPop_SxAge_2012,TtlPop_SxAge_2013,TtlPop_SxAge_2014,TtlPop_SxAge_2015,TtlPop_SxAge_2016,TtlPop_SxAge_2017,TtlPop_SxAge_2018,TtlPop_SxAge_2019,AGE_2010,AGE_2011,AGE_2012,AGE_2013,AGE_2014,AGE_2015,AGE_2016,AGE_2017,AGE_2018,AGE_2019
6001400100,2701,2451,2587,3353,3385,2952,3018,2991,3115,3120,2092,1894,2075,2141,2098,2086,2145,2070,2055,2317,2701,2451,2587,3353,3385,2952,3018,2991,3115,3120,610,587,561,1327,1261,680,735,812,870,946
6001400200,2050,2103,1981,1944,1939,1984,1960,1997,2025,2007,1498,1470,1398,1367,1390,1446,1426,1424,1436,1475,2050,2103,1981,1944,1939,1984,1960,1997,2025,2007,753,790,693,638,666,700,738,815,844,821
6001400300,4719,5088,5246,5376,5428,5377,5236,5123,5000,5051,3242,3542,3605,3497,3336,3339,3346,3431,3458,3434,4719,5088,5246,5376,5428,5377,5236,5123,5000,5051,1617,1939,2117,2323,2317,2339,2091,1983,1954,2020
6001400400,3930,3943,4222,4152,4279,4105,4171,3991,3843,4007,2710,2624,2732,2477,2557,2596,2758,2625,2551,2554,3930,3943,4222,4152,4279,4105,4171,3991,3843,4007,1812,1775,2040,1875,2009,1950,1943,1924,1897,1965
6001400500,3506,3481,3573,3618,3516,3651,3748,3944,3786,4124,1607,1668,1584,1717,1842,1888,1972,2105,1885,1874,3506,3481,3573,3618,3516,3651,3748,3944,3786,4124,1901,1852,1736,1880,1728,1889,1976,2222,1893,2043
6001400600,1649,1707,1767,1691,1750,1665,1661,1635,1638,1745,568,456,550,544,627,580,636,729,817,860,1649,1707,1767,1691,1750,1665,1661,1635,1638,1745,822,873,973,893,886,796,841,793,874,953
6001400700,3942,4077,3779,4062,4396,4544,4552,4837,5116,5128,1400,1228,1196,1131,1502,1623,1700,1816,2032,1963,3942,4077,3779,4062,4396,4544,4552,4837,5116,5128,1913,2039,1682,1901,2001,2054,2130,2389,2550,2545
6001400800,2664,3021,3042,3071,3218,3527,3506,3796,3792,4069,851,972,1013,1032,1166,1356,1390,1457,1677,1772,2664,3021,3042,3071,3218,3527,3506,3796,3792,4069,1175,1349,1196,1217,1317,1466,1512,1789,1851,2078
6001400900,2466,2444,2275,2178,2031,2175,2262,2394,2471,2471,971,1047,789,1022,979,917,899,1019,1036,1029,2466,2444,2275,2178,2031,2175,2262,2394,2471,2471,1274,1317,1001,1034,841,941,1003,1091,1261,1241
6001401000,6481,5053,4997,5007,5505,5987,6193,6247,6024,6133,964,959,1115,1182,1559,1877,1914,1829,1906,2051,6481,5053,4997,5007,5505,5987,6193,6247,6024,6133,3622,2793,2382,2094,2503,2776,2956,3101,3003,2953
