GEO_ID,TtlPop_Hsp_2020,TtlPop_Hsp_2021,TtlPop_Hsp_2022,WHTE_2020,WHTE_2021,WHTE_2022,TtlPop_SxAge_2020,TtlPop_SxAge_2021,TtlPop_SxAge_2022,AGE_2020,AGE_2021,AGE_2022
6001400100,3035,3324,3269,2205,2333,2255,3035,3324,3269,951,1153,1015
6001400200,1983,2038,2147,1333,1446,1500,1983,2038,2147,841,842,798
6001400300,5058,5449,5619,3085,3257,3290,5058,5449,5619,2197,2469,2527
6001400400,4179,4384,4278,2695,2907,2740,4179,4384,4278,2080,2031,1863
6001400500,4021,4048,3949,1797,1772,1638,4021,4048,3949,1843,1853,1730
6001400600,1812,1957,2058,795,823,905,1812,1957,2058,917,942,916
6001400700,5165,5150,4758,2245,2189,2293,5165,5150,4758,2688,2582,2141
6001400800,4001,4042,4335,1988,2040,2228,4001,4042,4335,2043,1998,2105
6001400900,2853,3056,2844,978,1092,1052,2853,3056,2844,1507,1600,1416
6001401000,6057,6185,6277,2138,2084,2095,6057,6185,6277,3135,2974,3050
6001401100,4269,5204,5537,2223,2354,2325,4269,5204,5537,2290,2838,2891
6001401200,2654,2800,2994,1692,1678,1718,2654,2800,2994,1212,1326,1454
6001401300,3830,4074,4608,1492,1621,1657,3830,4074,4608,1819,1959,2276
6001401400,4895,5044,5392,1274,1281,1380,4895,5044,5392,2943,2992,3179
6001401500,2816,3083,3035,926,885,662,2816,3083,3035,1530,1604,1634
6001401600,2223,2419,2403,389,447,446,2223,2419,2403,1267,1377,1445
6001401700,3210,3379,3276,1218,1212,1487,3210,3379,3276,1531,1438,1326
6001401800,1730,1746,1709,579,605,417,1730,1746,1709,975,945,911
6001402200,2387,2489,2337,685,753,747,2387,2489,2337,1224,1300,1216
6001402400,2401,2545,2623,530,523,349,2401,2545,2623,1156,1242,1095
6001402500,1904,1940,2010,139,184,314,1904,1940,2010,1119,1064,1107
6001402600,1255,1299,1300,133,107,123,1255,1299,1300,454,502,481
6001402700,1927,1988,2039,539,579,523,1927,1988,2039,980,961,1007
6001402800,,,,,,,,,,,,
6001402900,1486,1638,1828,343,367,365,1486,1638,1828,690,746,747
6001403000,2850,2907,2897,214,226,250,2850,2907,2897,611,661,890
6001403100,2077,2054,1941,614,669,767,2077,2054,1941,951,983,830
6001403300,,,,,,,,,,,,
6001403400,,,,,,,,,,,,
6001403501,4454,4655,4904,1702,1731,1874,4454,4655,4904,1791,1869,1860
6001403502,1902,2008,1919,882,830,939,1902,2008,1919,935,941,865
6001403600,5582,5318,5056,1583,1892,1933,5582,5318,5056,2502,2358,2155
6001403701,2776,3025,2909,1252,1337,1222,2776,3025,2909,1181,1343,1381
6001403702,1883,2012,2238,1020,1072,1224,1883,2012,2238,767,817,1051
