NAME,P_AGE_2010,P_AGE_2011,P_AGE_2012,P_AGE_2013,P_AGE_2014,P_AGE_2015,P_AGE_2016,P_AGE_2017,P_AGE_2018,P_AGE_2019,P_AGE_2020,P_AGE_2021,P_AGE_2022,P_WHTE_2010,P_WHTE_2011,P_WHTE_2012,P_WHTE_2013,P_WHTE_2014,P_WHTE_2015,P_WHTE_2016,P_WHTE_2017,P_WHTE_2018,P_WHTE_2019,P_WHTE_2020,P_WHTE_2021,P_WHTE_2022
"Bakersfield, CA",0.56662,0.565114,0.56567,0.566054,0.564179,0.56246,0.561701,0.558988,0.555999,0.554047,0.551658866,0.548560314,0.545686695,0.377242,0.368134,0.360959,0.354306,0.348113,0.343798,0.337483,0.332051,0.327334,0.320135,0.310068953,0.300429181,0.294622703
"Chico-Redding, CA",0.453684,0.453023,0.451522,0.450903,0.450803,0.448776,0.447451,0.447043,0.446471,0.445827,0.445226373,0.44553819,0.445038283,0.774076,0.768399,0.76505,0.760657,0.755471,0.751222,0.748172,0.742953,0.738747,0.734727,0.726371472,0.71787625,0.707406761
"Eureka, CA",0.467037,0.467537,0.467828,0.465782,0.464885,0.464336,0.461884,0.457202,0.455785,0.452021,0.449817748,0.447521775,0.444356285,0.764951,0.760248,0.754124,0.749142,0.743553,0.737652,0.734123,0.729153,0.725582,0.722878,0.71680033,0.703864182,0.701273316
"Fresno-Visalia, CA",0.560402,0.559063,0.557495,0.556057,0.553573,0.550895,0.548732,0.546384,0.543799,0.541667,0.53940703,0.537202499,0.534641268,0.350291,0.343094,0.336419,0.330683,0.324978,0.319724,0.314845,0.309049,0.304278,0.299759,0.292370564,0.284020758,0.278016599
"Los Angeles, CA",0.513039,0.509687,0.50673,0.503332,0.499547,0.495878,0.49309,0.490036,0.487325,0.484007,0.480544433,0.476551604,0.472146228,0.341784,0.337051,0.332475,0.328628,0.324324,0.320355,0.316974,0.312758,0.309417,0.30628,0.301111008,0.29448166,0.290241842
"Medford-Klamath Falls, OR",0.370798,0.372322,0.37376,0.375322,0.37541,0.373323,0.375447,0.371836,0.371773,0.373215,0.371492918,0.370182437,0.368747044,0.802282,0.798621,0.794685,0.7899,0.785091,0.780132,0.776219,0.771581,0.766879,0.761042,0.755538667,0.748386333,0.742105804
"Monterey-Salinas, CA",0.513016,0.512377,0.511406,0.50991,0.507725,0.505931,0.50379,0.500761,0.497466,0.493878,0.490802651,0.487813135,0.48304645,0.433605,0.426733,0.421736,0.415998,0.411038,0.406473,0.403165,0.398897,0.395736,0.392049,0.386999824,0.378716759,0.374691093
"Palm Springs, CA",0.44472,0.446907,0.445627,0.448338,0.446347,0.443006,0.429469,0.415302,0.395119,0.382804,0.376424931,0.370432277,0.379844129,0.443739,0.431861,0.425156,0.413009,0.400997,0.40043,0.40445,0.406719,0.408018,0.414721,0.409346333,0.401102431,0.386853796
"Reno, NV",0.470135,0.471655,0.464557,0.454238,0.452304,0.452295,0.454279,0.456454,0.459694,0.454276,0.438707025,0.430319984,0.42705868,0.682357,0.671061,0.662161,0.66034,0.661159,0.653366,0.655932,0.677023,0.669274,0.652362,0.658354121,0.648424829,0.641045029
"Sacramento-Stockton-Modesto, CA",0.496271,0.494393,0.492062,0.489919,0.486879,0.48423,0.481472,0.479073,0.476733,0.474335,0.472271598,0.470111452,0.467093221,0.533202,0.526381,0.521105,0.515883,0.509875,0.504516,0.500374,0.493681,0.487829,0.482418,0.472236963,0.46223219,0.453803811
"San Diego, CA",0.507314,0.505824,0.50437,0.50252,0.500573,0.49837,0.49615,0.493558,0.49062,0.487021,0.483039208,0.478758148,0.474313761,0.494702,0.488304,0.482824,0.477844,0.472663,0.468156,0.465109,0.460033,0.45693,0.453845,0.447530566,0.44021316,0.434568145
"San Francisco-Oakland-San Jose, CA",0.45994,0.458004,0.456479,0.454442,0.452354,0.450488,0.449669,0.44776,0.446293,0.443867,0.440960537,0.436653808,0.431669707,0.441402,0.435109,0.429003,0.424112,0.418496,0.414039,0.410371,0.405036,0.400953,0.396794,0.388259955,0.38018718,0.372782495
"Santa Barbara-Santa Maria-San Luis Obispo, CA",0.493988,0.495213,0.493731,0.494382,0.49395,0.49429,0.493342,0.492998,0.491447,0.489616,0.487481522,0.486209205,0.482901992,0.583343,0.573977,0.568496,0.562196,0.556609,0.552141,0.549373,0.544137,0.540804,0.537346,0.531282295,0.521764271,0.517020179
"Yuma, AZ-El Centro, CA",0.54559,0.542217,0.54049,0.540844,0.539467,0.537111,0.537926,0.539296,0.538729,0.537551,0.537329531,0.535070406,0.533043915,0.146593,0.142245,0.137675,0.133932,0.129733,0.125954,0.119357,0.113244,0.109759,0.106448,0.101855357,0.097250418,0.095674474
