NAME,P_WHTE_2020,P_WHTE_2021,P_WHTE_2022,P_AGE_2020,P_AGE_2021,P_AGE_2022
"Bakersfield, CA",0.310068953,0.300429181,0.294622703,0.551658866,0.548560314,0.545686695
"Chico-Redding, CA",0.726371472,0.71787625,0.707406761,0.445226373,0.44553819,0.445038283
"Eureka, CA",0.71680033,0.703864182,0.701273316,0.449817748,0.447521775,0.444356285
"Fresno-Visalia, CA",0.292370564,0.284020758,0.278016599,0.53940703,0.537202499,0.534641268
"Los Angeles, CA",0.301111008,0.29448166,0.290241842,0.480544433,0.476551604,0.472146228
"Medford-Klamath Falls, OR",0.755538667,0.748386333,0.742105804,0.371492918,0.370182437,0.368747044
"Monterey-Salinas, CA",0.386999824,0.378716759,0.374691093,0.490802651,0.487813135,0.48304645
"Palm Springs, CA",0.409346333,0.401102431,0.386853796,0.376424931,0.370432277,0.379844129
"Reno, NV",0.658354121,0.648424829,0.641045029,0.438707025,0.430319984,0.42705868
"Sacramento-Stockton-Modesto, CA",0.472236963,0.46223219,0.453803811,0.472271598,0.470111452,0.467093221
"San Diego, CA",0.447530566,0.44021316,0.434568145,0.483039208,0.478758148,0.474313761
"San Francisco-Oakland-San Jose, CA",0.388259955,0.38018718,0.372782495,0.440960537,0.436653808,0.431669707
"Santa Barbara-Santa Maria-San Luis Obispo, CA",0.531282295,0.521764271,0.517020179,0.487481522,0.486209205,0.482901992
"Yuma, AZ-El Centro, CA",0.101855357,0.097250418,0.095674474,0.537329531,0.535070406,0.533043915
