FID_TractsCensusDataJoined_2020to2022_V2_Projected,GEOID,GEOID_Dub,OBJECTID_1,GEO_ID,TtlPop_Hsp_2020,TtlPop_Hsp_2021,TtlPop_Hsp_2022,WHTE_2020,WHTE_2021,WHTE_2022,TtlPop_SxAge_2020,TtlPop_SxAge_2021,TtlPop_SxAge_2022,AGE_2020,AGE_2021,AGE_2022,Area_Tract_SqMiles,FID_DMABoundaries_CA,OBJECTID_12,ID,NAME,STATE_NAME,ST_ABBREV,esri_dma_P,TOTPOP_CY,Shape_Length,Shape_Area,Area_Intscs_SqMiles,Area_Wght
1756,06093000600,6093000600.000000000000000,7404,6093000600,1572,1480,1497,1336,1218,1175,1572,1480,1497,468,448,446,212.626479839243103,9,199,813,"Medford-Klamath Falls, OR",Oregon,OR,26918.358700000000681,430049,519527.020185510278679,5927802163.521504402160645,212.626479839243103,1.000000000000000
2012,06089012606,6089012606.000000000000000,10072,6089012606,3413,3472,3407,2548,2376,2239,3413,3472,3407,1039,1117,1119,759.699226638222399,9,199,813,"Medford-Klamath Falls, OR",Oregon,OR,26918.358700000000681,430049,146122.008653010358103,139851.786116223956924,0.005017364905940,0.000006604409653
3269,06105000200,6105000200.000000000000000,7737,6105000200,1912,2632,2923,1584,2295,2414,1912,2632,2923,392,524,704,749.742438283764500,9,199,813,"Medford-Klamath Falls, OR",Oregon,OR,26918.358700000000681,430049,142370.510873835592065,143974.158005547767971,0.005165334524973,0.000006889478655
3285,06093001003,6093001003.000000000000000,10077,6093001003,4047,4264,4209,3611,3991,3573,4047,4264,4209,1382,1327,1335,98.568616942438894,9,199,813,"Medford-Klamath Falls, OR",Oregon,OR,26918.358700000000681,430049,278961.979664418555330,2747608713.285781860351562,98.568616942438894,1.000000000000000
3286,06093000901,6093000901.000000000000000,10073,6093000901,4346,4306,4230,2861,2776,2797,4346,4306,4230,1818,1605,1553,119.764218922272249,9,199,813,"Medford-Klamath Falls, OR",Oregon,OR,26918.358700000000681,430049,314435.039582226658240,3338439567.728154659271240,119.762673878443707,0.999987099286895
2441,06089012500,6089012500.000000000000000,7392,6089012500,1531,1456,1382,1321,1259,1178,1531,1456,1382,273,228,238,490.117351644756070,9,199,813,"Medford-Klamath Falls, OR",Oregon,OR,26918.358700000000681,430049,234357.706593800656265,223428.825006001512520,0.008015799200612,0.000016354857003
2443,06089012701,6089012701.000000000000000,7396,6089012701,4937,4564,4268,4249,4029,3655,4937,4564,4268,2383,2154,1847,390.693948034988068,9,199,813,"Medford-Klamath Falls, OR",Oregon,OR,26918.358700000000681,430049,49072.290377245299169,47180.738432647769514,0.001692670406001,0.000004332471528
2446,06089012702,6089012702.000000000000000,7397,6089012702,2461,2714,2786,1831,2008,2079,2461,2714,2786,702,856,920,505.302237028905722,9,199,813,"Medford-Klamath Falls, OR",Oregon,OR,26918.358700000000681,430049,149623.664608153310837,144052.529963373584906,0.005168071894456,0.000010227684573
5103,06093000703,6093000703.000000000000000,7407,6093000703,3700,3412,3593,2851,2636,2940,3700,3412,3593,1624,1447,1564,1.948979710537388,9,199,813,"Medford-Klamath Falls, OR",Oregon,OR,26918.358700000000681,430049,57948.806838737407816,54336649.889232702553272,1.948979710537388,1.000000000000000
5104,06093000200,6093000200.000000000000000,7400,6093000200,1674,1877,1908,932,1046,948,1674,1877,1908,677,828,908,530.040597924773806,9,199,813,"Medford-Klamath Falls, OR",Oregon,OR,26918.358700000000681,430049,626220.970481324591674,14778339418.632265090942383,530.040597924773806,1.000000000000000
5105,06093001100,6093001100.000000000000000,7411,6093001100,2207,2197,2149,1678,1610,1506,2207,2197,2149,890,922,811,90.544070095418618,9,199,813,"Medford-Klamath Falls, OR",Oregon,OR,26918.358700000000681,430049,287460.322244354756549,2523782362.464302539825439,90.543087015758573,0.999989142528506
5106,06093000300,6093000300.000000000000000,7401,6093000300,3891,3989,4393,3035,3210,3456,3891,3989,4393,1375,1349,1615,554.828285822638236,9,199,813,"Medford-Klamath Falls, OR",Oregon,OR,26918.358700000000681,430049,737155.142385661834851,15468667505.141958236694336,554.828285822638236,1.000000000000000
