,GEO_ID,E_Total_population_SX_AGE_2020,E_HSPNC_Total_population_2020,E_NOTHSPNC_White_alone_2020,P_NOTHSPNC_White_alone_2020,E_Under35_SX_AGE_2020,E_Total_population_SX_AGE_2021,E_HSPNC_Total_population_2021,E_NOTHSPNC_White_alone_2021,P_NOTHSPNC_White_alone_2021,E_Under35_SX_AGE_2021,E_Total_population_SX_AGE_2022,E_HSPNC_Total_population_2022,E_NOTHSPNC_White_alone_2022,P_NOTHSPNC_White_alone_2022,E_Under35_SX_AGE_2022
1,6001400100,3035,139,112,3.7,729,3324,156,177,5.3,909.6,3269,3269,3269,3269,845.4
2,6001400200,1983,106,86,4.3,478.9,2038,115,78,3.8,518.6,2147,2147,2147,2147,507.3
3,6001400300,5058,508,65,1.3,1127.3,5449,575,225,4.1,1192.1,5619,5619,5619,5619,1204.4
4,6001400400,4179,358,309,7.4,1098.2,4384,418,302,6.9,1132.4,4278,4278,4278,4278,1104.9
5,6001400500,4021,1178,195,4.8,1086.3,4048,1181,242,6,1033.8,3949,3949,3949,3949,1025.9
6,6001400600,1812,585,82,4.5,579.5,1957,595,105,5.4,617.4,2058,2058,2058,2058,581.2
7,6001400700,5165,1625,456,8.8,1223.3,5150,1423,632,12.3,1264.6,4758,4758,4758,4758,1131
8,6001400800,4001,965,102,2.5,1006.3,4042,873,114,2.8,1045.6,4335,4335,4335,4335,980.2
9,6001400900,2853,956,388,13.6,886,3056,1054,477,15.6,995.4,2844,2844,2844,2844,821.5
10,6001401000,6057,2346,662,10.9,1557.8,6185,1848,1149,18.6,1260.8,6277,6277,6277,6277,1429.7
11,6001401100,4269,844,114,2.7,895.1,5204,1288,122,2.3,1329.2,5537,5537,5537,5537,1318.2
12,6001401200,2654,371,113,4.3,562.2,2800,342,101,3.6,549.3,2994,2994,2994,2994,569.4
13,6001401300,3830,984,193,5,590.6,4074,1062,192,4.7,630.3,4608,4608,4608,4608,750.6
14,6001401400,4895,1730,520,10.6,1470.9,5044,1557,637,12.6,1508.6,5392,5392,5392,5392,1672.7
15,6001401500,2816,1416,351,12.5,706.8,3083,1780,228,7.4,820.8,3035,3035,3035,3035,809.2
16,6001401600,2223,809,498,22.4,673.5,2419,780,599,24.8,743.1,2403,2403,2403,2403,802.3
17,6001401700,3210,717,467,14.5,875.2,3379,978,443,13.1,812.8,3276,3276,3276,3276,701
18,6001401800,1730,678,209,12.1,513.2,1746,637,254,14.5,529.7,1709,1709,1709,1709,574.7
19,6001402200,2387,914,254,10.6,697.5,2489,948,282,11.3,708,2337,2337,2337,2337,602.8
20,6001402400,2401,1395,73,3,551.9,2545,1476,175,6.9,687.1,2623,2623,2623,2623,715
21,6001402500,1904,1209,180,9.5,680,1940,1036,186,9.6,677.3,2010,2010,2010,2010,706.9
22,6001402600,1255,370,97,7.7,383.8,1299,494,90,6.9,408.8,1300,1300,1300,1300,410.1
23,6001402700,1927,719,244,12.7,511.9,1988,757,208,10.5,478.8,2039,2039,2039,2039,631.3
24,6001402801,3321,1259,118,3.6,843.2,3301,1272,105,3.2,815.8,3254,3254,3254,3254,976.8
25,6001402802,1337,649,107,8,176.9,1251,692,44,3.5,245.4,1430,1430,1430,1430,293.3
26,6001402900,1486,260,109,7.3,274.8,1638,315,115,7,274.7,1828,1828,1828,1828,262.6
27,6001403000,2850,119,39,1.4,379.9,2907,53,22,0.8,375.6,2897,2897,2897,2897,360.9
28,6001403100,2077,468,268,12.9,570.8,2054,455,224,10.9,593.1,1941,1941,1941,1941,429
29,6001403301,1615,18,61,3.8,493.8,1950,47,57,2.9,447.3,1830,1830,1830,1830,321.4
30,6001403302,2389,177,163,6.8,361.6,2279,205,129,5.7,341.3,2556,2556,2556,2556,380.9
31,6001403401,2940,642,167,5.7,492.2,2882,493,96,3.3,370.1,2717,2717,2717,2717,341.7
32,6001403402,1405,395,47,3.3,270.7,1197,239,46,3.8,237.8,1134,1134,1134,1134,251.9
33,6001403501,4454,1275,140,3.1,605.1,4655,1135,156,3.4,643.8,4904,4904,4904,4904,615.3
34,6001403502,1902,416,199,10.5,354.3,2008,486,231,11.5,425.4,1919,1919,1919,1919,350
35,6001403600,5582,2412,687,12.3,1083,5318,1840,615,11.6,986.8,5056,5056,5056,5056,900.2
36,6001403701,2776,659,107,3.9,343.2,3025,716,174,5.8,469.8,2909,2909,2909,2909,515.9
37,6001403702,1883,401,153,8.1,244.2,2012,503,90,4.5,346.5,2238,2238,2238,2238,443.9
38,6001403800,3514,591,90,2.6,626.7,3864,654,73,1.9,756.3,4008,4008,4008,4008,811.8
39,6001403900,4122,506,180,4.4,732.5,4038,437,214,5.3,688,3883,3883,3883,3883,643.9
40,6001404000,2910,442,224,7.7,525.8,3052,598,259,8.5,590.6,3145,3145,3145,3145,645.8
41,6001404101,2988,336,130,4.4,506,3082,371,93,3,449.1,3208,3208,3208,3208,485
42,6001404102,2637,429,125,4.7,423,2689,433,159,5.9,438.5,2701,2701,2701,2701,446.7
43,6001404200,3826,337,96,2.5,1335.8,3929,225,129,3.3,1317,3894,3894,3894,3894,1345.1
44,6001404300,3546,170,71,2,945.9,3562,136,109,3.1,1006.2,3587,3587,3587,3587,1046.8
45,6001404400,5755,510,31,0.5,1617,5916,574,64,1.1,1606.1,5823,5823,5823,5823,1554.4
46,6001404501,1790,115,64,3.6,636.6,1843,177,57,3.1,635.1,1820,1820,1820,1820,604.4
47,6001404502,5893,245,134,2.3,1574.7,6292,269,104,1.7,1672.1,6110,6110,6110,6110,1535.2
48,6001404600,4936,332,123,2.5,1175.6,5063,402,131,2.6,1203.3,4934,4934,4934,4934,1143.4
49,6001404700,2099,144,90,4.3,508.6,2153,165,125,5.8,525.5,2187,2187,2187,2187,558.5
50,6001404800,2650,329,292,11,848.4,2722,341,153,5.6,820.7,2744,2744,2744,2744,797.7
51,6001404900,4253,418,327,7.7,952.6,4461,377,325,7.3,1003.8,4669,4669,4669,4669,1063.3
52,6001405000,3444,542,191,5.5,842.1,3718,653,238,6.4,943,3665,3665,3665,3665,939.7
53,6001405100,4285,689,117,2.7,1214.1,4479,463,206,4.6,1331.3,4508,4508,4508,4508,1334.2
54,6001405200,5159,619,577,11.2,1086.6,4936,660,269,5.4,954.7,4913,4913,4913,4913,942.4
55,6001405301,2947,480,276,9.4,417.3,2988,528,336,11.2,534.9,2872,2872,2872,2872,498
56,6001405302,2287,392,70,3.1,289.9,2457,557,81,3.3,344.7,2559,2559,2559,2559,312.6
57,6001405401,3670,654,430,11.7,650.5,3583,603,454,12.7,705.7,3541,3541,3541,3541,789.4
58,6001405402,3412,735,749,22,894.9,3492,618,789,22.6,866.1,3673,3673,3673,3673,902.4
59,6001405500,3674,989,393,10.7,617,3644,729,479,13.1,698.9,3537,3537,3537,3537,702.1
60,6001405600,3171,665,525,16.6,706,3184,651,581,18.2,604.8,3044,3044,3044,3044,622.4
61,6001405700,3308,1157,154,4.7,886.5,3722,1095,251,6.7,1044.3,3522,3522,3522,3522,1051.8
62,6001405800,3931,758,551,14,1255.3,4157,898,610,14.7,1334.1,4182,4182,4182,4182,1396.1
63,6001405901,4230,553,1807,42.7,1454.6,4175,496,1758,42.1,1506.2,3757,3757,3757,3757,1461.7
