STATEFP,COUNTYFP,TRACTCE,GEOID,GEOID_Dub,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area
06,037,137504,06037137504,6037137504.000000000000000,1375.04,Census Tract 1375.04,G5020,S,3837562.000000000000000,0.000000000000000,+34.1480383,-118.5720594,33089.224820922165236,41845630.563220731914043
06,037,138000,06037138000,6037138000.000000000000000,1380,Census Tract 1380,G5020,S,4472196.000000000000000,0.000000000000000,+34.1488008,-118.5910495,31456.947924994692585,48765714.488492064177990
06,037,139200,06037139200,6037139200.000000000000000,1392,Census Tract 1392,G5020,S,1152031.000000000000000,0.000000000000000,+34.1756961,-118.5246447,14107.824047921489182,12560668.786288021132350
06,067,002300,06067002300,6067002300.000000000000000,23,Census Tract 23,G5020,S,1213095.000000000000000,0.000000000000000,+38.5571708,-121.4938311,14262.433066925059393,13075191.413371650502086
06,067,002400,06067002400,6067002400.000000000000000,24,Census Tract 24,G5020,S,3224718.000000000000000,0.000000000000000,+38.5448312,-121.4973382,24786.523701861613517,34757851.550003603100777
06,037,143200,06037143200,6037143200.000000000000000,1432,Census Tract 1432,G5020,S,957093.000000000000000,0.000000000000000,+34.1494399,-118.3720618,14151.728748042249208,10436327.095457570627332
06,037,143300,06037143300,6037143300.000000000000000,1433,Census Tract 1433,G5020,S,1649223.000000000000000,5619.000000000000000,+34.1521830,-118.3866139,20029.439298070061341,18044457.172808647155762
06,037,201301,06037201301,6037201301.000000000000000,2013.01,Census Tract 2013.01,G5020,S,866188.000000000000000,0.000000000000000,+34.0882421,-118.1878388,19689.054595698100457,9447289.510001391172409
06,037,201302,06037201302,6037201302.000000000000000,2013.02,Census Tract 2013.02,G5020,S,991724.000000000000000,0.000000000000000,+34.0978820,-118.1838819,15099.033273924735113,10816077.197383685037494
06,037,201401,06037201401,6037201401.000000000000000,2014.01,Census Tract 2014.01,G5020,S,1279500.000000000000000,28686.000000000000000,+34.0782936,-118.1857852,15592.870385756385076,14268533.787729874253273
06,037,201402,06037201402,6037201402.000000000000000,2014.02,Census Tract 2014.02,G5020,S,1941232.000000000000000,0.000000000000000,+34.0689106,-118.1877681,19136.428561452885333,21174203.872134979814291
06,037,139301,06037139301,6037139301.000000000000000,1393.01,Census Tract 1393.01,G5020,S,2865657.000000000000000,0.000000000000000,+34.1781538,-118.5581265,27082.141234897477261,31244106.982030499726534
06,037,139302,06037139302,6037139302.000000000000000,1393.02,Census Tract 1393.02,G5020,S,338288.000000000000000,0.000000000000000,+34.1767230,-118.5383655,8012.102264469216607,3688350.428496588487178
06,037,139502,06037139502,6037139502.000000000000000,1395.02,Census Tract 1395.02,G5020,S,1047548.000000000000000,0.000000000000000,+34.1628402,-118.5263110,17069.075728332842118,11422080.896444875746965
06,037,139600,06037139600,6037139600.000000000000000,1396,Census Tract 1396,G5020,S,2477482.000000000000000,0.000000000000000,+34.1640599,-118.5101001,20896.017021661482431,27013348.213293731212616
06,037,139701,06037139701,6037139701.000000000000000,1397.01,Census Tract 1397.01,G5020,S,3396395.000000000000000,2411.000000000000000,+34.1574290,-118.4954117,33161.639832932793070,37059998.785745993256569
06,037,139801,06037139801,6037139801.000000000000000,1398.01,Census Tract 1398.01,G5020,S,3665744.000000000000000,0.000000000000000,+34.1527206,-118.5455805,27869.240495633566752,39971362.854419007897377
06,013,324002,06013324002,6013324002.000000000000000,3240.02,Census Tract 3240.02,G5020,S,2019541.000000000000000,0.000000000000000,+37.9514985,-122.0605612,31899.700261424608470,21787688.852733697742224
06,013,320004,06013320004,6013320004.000000000000000,3200.04,Census Tract 3200.04,G5020,S,7108004.000000000000000,39729.000000000000000,+38.0022389,-122.0762604,41022.390296149256756,77106040.344974339008331
06,013,336201,06013336201,6013336201.000000000000000,3362.01,Census Tract 3362.01,G5020,S,1256563.000000000000000,0.000000000000000,+37.9604623,-122.0475025,21290.251453811881220,13556098.888632899150252
06,013,338203,06013338203,6013338203.000000000000000,3382.03,Census Tract 3382.03,G5020,S,1599603.000000000000000,0.000000000000000,+37.9256330,-122.0540950,21311.190779382584878,17257947.737128637731075
06,013,338204,06013338204,6013338204.000000000000000,3382.04,Census Tract 3382.04,G5020,S,2626601.000000000000000,15822.000000000000000,+37.9190883,-122.0467663,26354.427177407651470,28509147.516958884894848
06,013,355116,06013355116,6013355116.000000000000000,3551.16,Census Tract 3551.16,G5020,S,14826591.000000000000000,0.000000000000000,+37.7733211,-121.8811495,57067.230418765437207,160005676.608145326375961
06,013,345204,06013345204,6013345204.000000000000000,3452.04,Census Tract 3452.04,G5020,S,12473031.000000000000000,5258.000000000000000,+37.8378943,-122.0397659,62556.006335798185319,134647509.046963483095169
06,013,345203,06013345203,6013345203.000000000000000,3452.03,Census Tract 3452.03,G5020,S,28068781.000000000000000,0.000000000000000,+37.8065132,-122.0248195,118732.648668385896599,302894617.983768224716187
06,013,345112,06013345112,6013345112.000000000000000,3451.12,Census Tract 3451.12,G5020,S,8394148.000000000000000,0.000000000000000,+37.7615081,-121.9273695,56297.080935653888446,90589940.430935621261597
06,013,345113,06013345113,6013345113.000000000000000,3451.13,Census Tract 3451.13,G5020,S,5355424.000000000000000,0.000000000000000,+37.7955000,-121.9413624,37450.487896933969751,57792405.659119762480259
06,037,143400,06037143400,6037143400.000000000000000,1434,Census Tract 1434,G5020,S,1738504.000000000000000,18831.000000000000000,+34.1538507,-118.4110998,21162.348945636444114,19161963.265792571008205
06,037,143500,06037143500,6037143500.000000000000000,1435,Census Tract 1435,G5020,S,1191719.000000000000000,46468.000000000000000,+34.1476412,-118.4067800,19030.952624957575608,13501486.749986687675118
06,037,181000,06037181000,6037181000.000000000000000,1810,Census Tract 1810,G5020,S,4107038.000000000000000,30513.000000000000000,+34.1452670,-118.2043861,38064.350972127205750,45117546.590081550180912
06,037,181500,06037181500,6037181500.000000000000000,1815,Census Tract 1815,G5020,S,1094424.000000000000000,0.000000000000000,+34.1347812,-118.1928513,18016.991930804735603,11934481.537571918219328
06,037,181600,06037181600,6037181600.000000000000000,1816,Census Tract 1816,G5020,S,1250035.000000000000000,0.000000000000000,+34.1297233,-118.2097405,18070.570020874667534,13631627.823932597413659
06,037,183101,06037183101,6037183101.000000000000000,1831.01,Census Tract 1831.01,G5020,S,948156.000000000000000,19799.000000000000000,+34.1222377,-118.1823583,17143.415999280146934,10555852.247033443301916
06,001,441402,06001441402,6001441402.000000000000000,4414.02,Census Tract 4414.02,G5020,S,1634518.000000000000000,0.000000000000000,+37.5823793,-122.0398730,20946.046986763794848,17645690.288401689380407
06,001,441501,06001441501,6001441501.000000000000000,4415.01,Census Tract 4415.01,G5020,S,2624983.000000000000000,0.000000000000000,+37.5699748,-122.0724418,26922.713230388253578,28339130.312517885118723
06,001,441521,06001441521,6001441521.000000000000000,4415.21,Census Tract 4415.21,G5020,S,1711305.000000000000000,0.000000000000000,+37.5729300,-122.0532585,17865.372601811155619,18474963.063548330217600
06,001,441522,06001441522,6001441522.000000000000000,4415.22,Census Tract 4415.22,G5020,S,1307238.000000000000000,0.000000000000000,+37.5845594,-122.0572546,18735.415927792735602,14112421.409289436414838
06,001,441601,06001441601,6001441601.000000000000000,4416.01,Census Tract 4416.01,G5020,S,1291645.000000000000000,0.000000000000000,+37.5635007,-122.0305372,15051.858489594600542,13944676.791842836886644
06,001,441602,06001441602,6001441602.000000000000000,4416.02,Census Tract 4416.02,G5020,S,1682082.000000000000000,0.000000000000000,+37.5569619,-122.0212342,19437.297662555505667,18160089.429997131228447
06,037,183220,06037183220,6037183220.000000000000000,1832.20,Census Tract 1832.20,G5020,S,535234.000000000000000,0.000000000000000,+34.1199723,-118.1892861,13403.248393862722878,5836949.578639642335474
06,037,183300,06037183300,6037183300.000000000000000,1833,Census Tract 1833,G5020,S,541305.000000000000000,0.000000000000000,+34.1210001,-118.2008163,10331.752741822829194,5903149.777454892173409
06,037,183510,06037183510,6037183510.000000000000000,1835.10,Census Tract 1835.10,G5020,S,500438.000000000000000,0.000000000000000,+34.1154022,-118.2030827,10525.706975809900541,5457618.573931348510087
06,037,183520,06037183520,6037183520.000000000000000,1835.20,Census Tract 1835.20,G5020,S,427707.000000000000000,0.000000000000000,+34.1109412,-118.2015849,9242.357572723954945,4664483.479409001767635
06,037,183610,06037183610,6037183610.000000000000000,1836.10,Census Tract 1836.10,G5020,S,378643.000000000000000,0.000000000000000,+34.1140024,-118.1948974,9868.930251301046155,4129355.342458797618747
06,037,192300,06037192300,6037192300.000000000000000,1923,Census Tract 1923,G5020,S,879494.000000000000000,0.000000000000000,+34.0797430,-118.3284923,12585.556339912896874,9592753.575058223679662
06,001,441800,06001441800,6001441800.000000000000000,4418,Census Tract 4418,G5020,S,2038658.000000000000000,0.000000000000000,+37.5591968,-121.9915745,21693.390789494864293,22009614.925577290356159
06,001,441921,06001441921,6001441921.000000000000000,4419.21,Census Tract 4419.21,G5020,S,846805.000000000000000,0.000000000000000,+37.5424223,-121.9678076,12622.657036181559306,9142560.324169429019094
06,037,195400,06037195400,6037195400.000000000000000,1954,Census Tract 1954,G5020,S,1030345.000000000000000,0.000000000000000,+34.0916923,-118.2740531,17166.949093796585657,11237595.914986124262214
06,001,441923,06001441923,6001441923.000000000000000,4419.23,Census Tract 4419.23,G5020,S,1506725.000000000000000,0.000000000000000,+37.5509731,-121.9850086,17781.548519227388169,16267066.998655045405030
06,001,442100,06001442100,6001442100.000000000000000,4421,Census Tract 4421,G5020,S,1836849.000000000000000,0.000000000000000,+37.5482724,-121.9498620,23235.356909231195459,19831310.920927152037621
06,001,442400,06001442400,6001442400.000000000000000,4424,Census Tract 4424,G5020,S,1582838.000000000000000,0.000000000000000,+37.5313806,-121.9737794,18250.074829957804468,17089440.685867734253407
06,001,442500,06001442500,6001442500.000000000000000,4425,Census Tract 4425,G5020,S,1959818.000000000000000,0.000000000000000,+37.5371439,-121.9871472,21796.407276119072776,21159430.616808321326971
06,037,183820,06037183820,6037183820.000000000000000,1838.20,Census Tract 1838.20,G5020,S,308656.000000000000000,0.000000000000000,+34.1039593,-118.1971255,10556.785914047221013,3366227.587324978783727
06,037,185100,06037185100,6037185100.000000000000000,1851,Census Tract 1851,G5020,S,2278050.000000000000000,0.000000000000000,+34.1048825,-118.2103941,25675.201553538667213,24844480.659179635345936
06,037,185202,06037185202,6037185202.000000000000000,1852.02,Census Tract 1852.02,G5020,S,1205737.000000000000000,0.000000000000000,+34.0950599,-118.2170631,17530.547353798549011,13150352.337616434320807
06,037,185310,06037185310,6037185310.000000000000000,1853.10,Census Tract 1853.10,G5020,S,421083.000000000000000,0.000000000000000,+34.0922029,-118.2226256,12244.723372837181159,4592583.241210653446615
06,111,003011,06111003011,6111003011.000000000000000,30.11,Census Tract 30.11,G5020,S,859112.000000000000000,0.000000000000000,+34.2242570,-119.1903853,12444.740411684970240,9365188.157420374453068
06,111,005801,06111005801,6111005801.000000000000000,58.01,Census Tract 58.01,G5020,S,4776604.000000000000000,0.000000000000000,+34.1646061,-118.9733802,53691.837023056585167,52081733.269121795892715
06,111,007405,06111007405,6111007405.000000000000000,74.05,Census Tract 74.05,G5020,S,38881090.000000000000000,0.000000000000000,+34.1885816,-118.7204097,123852.149923255070462,423901510.506682455539703
06,111,007511,06111007511,6111007511.000000000000000,75.11,Census Tract 75.11,G5020,S,26457929.000000000000000,2126.000000000000000,+34.2269369,-118.6788342,124826.640248736948706,288440323.304206967353821
06,111,007512,06111007512,6111007512.000000000000000,75.12,Census Tract 75.12,G5020,S,26314144.000000000000000,282609.000000000000000,+34.2461209,-118.6968119,93358.868672317359596,289903493.282361686229706
06,111,001206,06111001206,6111001206.000000000000000,12.06,Census Tract 12.06,G5020,S,100900703.000000000000000,8236035.000000000000000,+34.3439029,-119.3719440,185708.226278667832958,1189154674.568164110183716
06,111,003012,06111003012,6111003012.000000000000000,30.12,Census Tract 30.12,G5020,S,801273.000000000000000,12032.000000000000000,+34.2349646,-119.1806526,16632.337609015507041,8865456.327680168673396
06,111,000303,06111000303,6111000303.000000000000000,3.03,Census Tract 3.03,G5020,S,36465188.000000000000000,967598.000000000000000,+34.3661561,-118.9484382,126636.512285274147871,407835653.677263438701630
06,029,000200,06029000200,6029000200.000000000000000,2,Census Tract 2,G5020,S,2842591.000000000000000,0.000000000000000,+35.4163342,-119.0360587,33600.021234396474028,30857796.482890203595161
06,029,000300,06029000300,6029000300.000000000000000,3,Census Tract 3,G5020,S,1518290.000000000000000,0.000000000000000,+35.4111131,-119.0286467,25874.130099458114273,16482105.542997263371944
06,037,552700,06037552700,6037552700.000000000000000,5527,Census Tract 5527,G5020,S,1375435.000000000000000,0.000000000000000,+33.8985899,-118.0732039,16615.206031045574491,15012891.433128159493208
06,037,552800,06037552800,6037552800.000000000000000,5528,Census Tract 5528,G5020,S,1293752.000000000000000,0.000000000000000,+33.8984772,-118.0911920,15976.139549302017258,14121287.471254097297788
06,037,553000,06037553000,6037553000.000000000000000,5530,Census Tract 5530,G5020,S,1264078.000000000000000,0.000000000000000,+33.8945770,-118.1040512,16377.562109613838402,13797669.446250949054956
06,107,003502,06107003502,6107003502.000000000000000,35.02,Census Tract 35.02,G5020,S,8015920.000000000000000,0.000000000000000,+36.0930135,-119.0549135,39160.417324237299908,86841748.229021847248077
06,107,003501,06107003501,6107003501.000000000000000,35.01,Census Tract 35.01,G5020,S,14357178.000000000000000,154009.000000000000000,+36.0906458,-119.0847036,54028.951687648121151,157211066.629388332366943
06,059,990100,06059990100,6059990100.000000000000000,9901,Census Tract 9901,G5020,S,0.000000000000000,352603583.000000000000000,+33.5333068,-117.8559677,466501.819610442093108,3854485129.506478309631348
06,059,062649,06059062649,6059062649.000000000000000,626.49,Census Tract 626.49,G5020,S,3369926.000000000000000,8846.000000000000000,+33.6016816,-117.7535469,29814.733463665994350,36924444.176220163702965
06,059,032058,06059032058,6059032058.000000000000000,320.58,Census Tract 320.58,G5020,S,7188973.000000000000000,0.000000000000000,+33.5405931,-117.6456958,47542.883818594869808,78583547.166628837585449
06,059,032061,06059032061,6059032061.000000000000000,320.61,Census Tract 320.61,G5020,S,8387989.000000000000000,0.000000000000000,+33.5223306,-117.6457514,47094.407648292442900,91697224.582159131765366
06,041,109002,06041109002,6041109002.000000000000000,1090.02,Census Tract 1090.02,G5020,S,2547795.000000000000000,2234.000000000000000,+37.9834870,-122.5480915,31971.373837623297732,27509220.223391558974981
06,041,130201,06041130201,6041130201.000000000000000,1302.01,Census Tract 1302.01,G5020,S,1529589.000000000000000,0.000000000000000,+37.8510768,-122.4855376,25657.643153673107008,16504693.326149364933372
06,041,130202,06041130202,6041130202.000000000000000,1302.02,Census Tract 1302.02,G5020,S,2327921.000000000000000,3826504.000000000000000,+37.8620824,-122.4899498,64784.980795598661643,66406696.871565878391266
06,041,112201,06041112201,6041112201.000000000000000,1122.01,Census Tract 1122.01,G5020,S,323251.000000000000000,50963.000000000000000,+37.9659228,-122.5057650,12215.567310757307496,4037073.649784401990473
06,041,112202,06041112202,6041112202.000000000000000,1122.02,Census Tract 1122.02,G5020,S,3960101.000000000000000,2664693.000000000000000,+37.9558935,-122.4938992,59944.632055368769215,71470311.397063478827477
06,041,131100,06041131100,6041131100.000000000000000,1311,Census Tract 1311,G5020,S,127863351.000000000000000,8932928.000000000000000,+37.9207112,-122.5974613,374536.241426314518321,1475897271.152662992477417
06,041,990100,06041990100,6041990100.000000000000000,9901,Census Tract 9901,G5020,S,0.000000000000000,655494847.000000000000000,+37.9956135,-123.0361398,1004515.970915577490814,7070905318.821676254272461
06,111,007406,06111007406,6111007406.000000000000000,74.06,Census Tract 74.06,G5020,S,3699785.000000000000000,0.000000000000000,+34.1918833,-118.7764576,28976.614918361552554,40336428.711054176092148
06,111,007509,06111007509,6111007509.000000000000000,75.09,Census Tract 75.09,G5020,S,5902421.000000000000000,0.000000000000000,+34.2094265,-118.8063997,62052.505771489210019,64346022.630657516419888
06,111,007510,06111007510,6111007510.000000000000000,75.10,Census Tract 75.10,G5020,S,9048824.000000000000000,0.000000000000000,+34.2238449,-118.8199928,76751.647287134503131,98641509.831139326095581
06,111,007613,06111007613,6111007613.000000000000000,76.13,Census Tract 76.13,G5020,S,18407457.000000000000000,329427.000000000000000,+34.2728016,-118.8452329,103497.740578257158631,204212922.299890100955963
06,111,007614,06111007614,6111007614.000000000000000,76.14,Census Tract 76.14,G5020,S,84650960.000000000000000,197812.000000000000000,+34.3241771,-118.8340161,175860.443228558578994,924565833.508922815322876
06,111,990100,06111990100,6111990100.000000000000000,9901,Census Tract 9901,G5020,S,0.000000000000000,881040609.000000000000000,+33.9963493,-119.4202966,1090838.164061228977516,9619866819.424259185791016
06,037,601402,06037601402,6037601402.000000000000000,6014.02,Census Tract 6014.02,G5020,S,983306.000000000000000,0.000000000000000,+33.9509443,-118.3657334,13356.356434111825365,10730512.916164966300130
06,037,601502,06037601502,6037601502.000000000000000,6015.02,Census Tract 6015.02,G5020,S,490798.000000000000000,0.000000000000000,+33.9400822,-118.3635824,11593.806057242252791,5356165.911025063134730
06,037,601600,06037601600,6037601600.000000000000000,6016,Census Tract 6016,G5020,S,912444.000000000000000,0.000000000000000,+33.9348000,-118.3638535,12954.811067468943293,9957877.244836801663041
06,037,601700,06037601700,6037601700.000000000000000,6017,Census Tract 6017,G5020,S,780881.000000000000000,0.000000000000000,+33.9352161,-118.3498395,12790.821078301029047,8522009.550691770389676
06,037,601801,06037601801,6037601801.000000000000000,6018.01,Census Tract 6018.01,G5020,S,486723.000000000000000,0.000000000000000,+33.9436357,-118.3504258,10621.148658658277782,5311588.563596451655030
06,037,601802,06037601802,6037601802.000000000000000,6018.02,Census Tract 6018.02,G5020,S,484101.000000000000000,0.000000000000000,+33.9400113,-118.3504318,10635.715512079164910,5283070.001791106536984
06,025,011500,06025011500,6025011500.000000000000000,115,Census Tract 115,G5020,S,2052294.000000000000000,0.000000000000000,+32.7984944,-115.5613145,21442.013924364324339,22507744.484844859689474
