"","location","McDonalds","mcdonald app","McDonalds app","McDonald's app","mcdonalds' app","taco bell app","taco bells app","taco bell's app","taco bells' app","burger king app","burger kings app","burger king 's app","burger kings' app","carls junior app","carls juniors app","carls junior's app","carls juniors' app","jack in the box app","jack in the boxs app","jack in the box's app ","jack in the boxs' app","kfc app","kfcs app","kfc's app","kfcs' app"
"1","Fresno-Visalia CA",1.02040816326531,0.785714285714286,0.622448979591837,0.653061224489796,NA,0.857142857142857,NA,NA,NA,0.826530612244898,NA,NA,NA,NA,NA,NA,NA,0.448979591836735,NA,NA,NA,1.02040816326531,NA,NA,NA
"2","Bakersfield CA",1.06818181818182,1.01136363636364,0.943181818181818,0.965909090909091,NA,1.02272727272727,NA,NA,NA,1.13636363636364,NA,NA,NA,NA,NA,NA,NA,0.852272727272727,NA,NA,NA,0.738636363636364,NA,NA,NA
"3","Sacramento-Stockton-Modesto CA",0.824742268041237,0.587628865979381,0.577319587628866,0.536082474226804,NA,0.804123711340206,NA,NA,NA,0.690721649484536,NA,NA,NA,NA,NA,NA,NA,0.371134020618557,NA,NA,NA,0.793814432989691,NA,NA,NA
"4","Yuma AZ-El Centro CA",0.76,NA,1,1,NA,0.77,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"5","Los Angeles CA",0.831460674157303,0.730337078651685,0.595505617977528,0.49438202247191,NA,0.449438202247191,NA,NA,NA,0.48314606741573,NA,NA,NA,0.629213483146067,NA,NA,NA,0.460674157303371,NA,NA,NA,0.606741573033708,NA,NA,NA
"6","Palm Springs CA",0.986111111111111,NA,0.611111111111111,0.791666666666667,NA,0.694444444444444,NA,NA,NA,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,0.708333333333333,NA,NA,NA,1.05555555555556,NA,NA,NA
"7","Medford-Klamath Falls OR",0.985507246376812,NA,0.710144927536232,0.710144927536232,NA,1.44927536231884,NA,NA,NA,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Reno NV",0.8375,NA,0.5,0.4625,NA,0.7375,NA,NA,NA,0.6125,NA,NA,NA,NA,NA,NA,NA,0.4375,NA,NA,NA,0.65,NA,NA,NA
"9","Eureka CA",0.984848484848485,NA,0.560606060606061,0.893939393939394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","San Diego CA",0.692307692307692,0.494505494505495,0.406593406593407,0.340659340659341,NA,0.384615384615385,NA,NA,NA,0.494505494505495,NA,NA,NA,NA,NA,NA,NA,0.56043956043956,NA,NA,NA,0.604395604395604,NA,NA,NA
"11","Chico-Redding CA",0.738095238095238,NA,0.55952380952381,0.523809523809524,NA,1.02380952380952,NA,NA,NA,0.880952380952381,NA,NA,NA,NA,NA,NA,NA,0.380952380952381,NA,NA,NA,NA,NA,NA,NA
"12","Monterey-Salinas CA",0.840579710144927,1.01449275362319,0.565217391304348,0.579710144927536,NA,0.753623188405797,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.449275362318841,NA,NA,NA,1.04347826086957,NA,NA,NA
"13","Santa Barbara-Santa Maria-San Luis Obispo CA",0.8,1.42857142857143,0.514285714285714,0.557142857142857,NA,0.757142857142857,NA,NA,NA,0.485714285714286,NA,NA,NA,NA,NA,NA,NA,0.428571428571429,NA,NA,NA,0.528571428571429,NA,NA,NA
"14","San Francisco-Oakland-San Jose CA",0.684210526315789,0.684210526315789,0.394736842105263,0.315789473684211,NA,0.513157894736842,NA,NA,NA,0.592105263157895,NA,NA,NA,1.31578947368421,NA,NA,NA,0.302631578947368,NA,NA,NA,0.671052631578947,NA,NA,NA
