oshpd_id2,oshpd_id,FACILITY_NAME,LICENSE_CATEGORY_DESC,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,TRAUMA_CENTER_DESC,ER_SERVICE_LEVEL_DESC,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,disp_Acute_Care,disp_Against_Medical_Advice,disp_Childrens_or_Cancer,disp_Died,disp_Home_Health_Service,disp_Invalid_Blank,disp_Not_Defined_Elsewhere,disp_Prison_Jail,disp_Psychiatric_Care,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Sex_Female,Sex_Male,Sex_Other_Unknown,Age_0_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Other_Unknown,racegrp_aman,racegrp_asian,racegrp_black,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,eth_Hispanic,eth_NonHispanic,eth_Other_Unknown,All_Other_Languages,English,PLS_Other_Unknown,Spanish,dx_Circulatory,dx_Digestive,dx_Diseases_of_the_Blood,dx_Ear,dx_Endocrine,dx_Eye,dx_Factors_Influencing_Health,dx_Genitourinary,dx_Infectious,dx_Injury_Poisoning,dx_MentalHealth,dx_Musculoskeletal,dx_Neoplasms,dx_Nervous_System,dx_Other_Unknown,dx_Pregnancy_Childbirth,dx_Respiratory,dx_Skin,dx_Symptoms_Signs_NEC,disp_CAH,disp_Hospice_Care,disp_Rehab,Zip_Unknown,dx_Certain_Perinatal_Conditions,dx_Congenital,disp_Other,Zip_Blank_Invalid,Unknown_inv_Payer,disp_Disaster_Care_Site,a_disp_Acute_Care,a_disp_Against_Medical_Advice,a_disp_Died,a_disp_Home_Health_Service,a_disp_Hospice_Care,a_disp_Psychiatric_Care,a_disp_Rehab,a_disp_Residential_Care,a_disp_Routine,a_disp_SN_IC_Care,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Zip_CA_Resident,a_Zip_Foreign,a_Zip_Homeless,a_Zip_Out_of_State,a_Sex_Female,a_Sex_Male,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Other_Unknown,a_racegrp_asian,a_racegrp_black,a_racegrp_multirace,a_racegrp_other,a_racegrp_unknown,a_racegrp_white,a_Eth_Other_Unknown,a_eth_Hispanic,a_eth_NonHispanic,a_All_Other_Languages,a_English,a_PLS_Other_Unknown,a_Spanish,a_dx_Circulatory,a_dx_Digestive,a_dx_Diseases_of_the_Blood,a_dx_Ear,a_dx_Endocrine,a_dx_Genitourinary,a_dx_Infectious,a_dx_Injury_Poisoning,a_dx_MentalHealth,a_dx_Musculoskeletal,a_dx_Neoplasms,a_dx_Nervous_System,a_dx_Other_Unknown,a_dx_Respiratory,a_dx_Skin,a_dx_Symptoms_Signs_NEC,a_disp_Childrens_or_Cancer,a_disp_Not_Defined_Elsewhere,a_disp_Prison_Jail,a_Zip_Unknown,a_Age_10_19,a_racegrp_aman,a_racegrp_nhpi,a_dx_Congenital,a_dx_Eye,a_dx_Factors_Influencing_Health,a_dx_Pregnancy_Childbirth,a_disp_CAH,a_Age_0_09,a_dx_Certain_Perinatal_Condition,a_Zip_Blank_Invalid,a_sex_Oth_Unknown,a_Unknown_inv_Payer,a_disp_Other,a_disp_Invalid_Blank,a_disp_Disaster_Care_Site,ed_STATIONS_ON_1231
106010735,010735,ALAMEDA HOSPITAL,General Acute Care Hospital,ALAMEDA,2070 CLINTON AVE,ALAMEDA,94501,City or County,,Emergency - Basic,,,100-149,District 9,District 18,Alameda/Jack London Square/Oakland Inner Harbor,Urban,100,217,2,16,7,1,445,72,17,7,10233,68,5024,2279,699,2299,884,10623,6,324,232,5913,5267,5,254,614,2008,2099,1642,1577,1379,949,657,6,25,1169,2481,902,42,2717,160,3689,2506,8255,424,612,9625,82,866,703,575,69,184,132,138,296,742,413,2547,526,1122,12,441,17,170,573,530,1995,,,,,,,,,,,107,76,99,341,28,10,53,1,750,439,581,1014,22,244,43,1794,1,92,17,978,926,90,113,197,270,363,382,481,8,301,427,142,302,36,696,91,336,1477,224,1559,11,110,269,272,38,4,119,129,461,180,59,34,19,90,1,128,48,53,,,,,,,,,,,,,,,,,,,,,12
106010739,010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,General Acute Care Hospital,ALAMEDA,2450 ASHBY AVE,BERKELEY,94705,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 9,District 15,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,299,469,16,15,26,,1,89,1181,57,24697,193,9639,6530,828,8546,1515,24558,16,1699,448,15402,11656,,411,1593,5249,4984,3640,3396,3243,2668,1874,,74,2290,8114,376,284,5449,316,10155,4839,21736,483,615,24858,127,1458,2180,1514,121,242,391,257,375,1905,927,5410,2619,1971,89,1102,9,1288,1141,878,4618,1,7,7,337,17,4,,,,,157,165,118,995,106,66,73,25,2087,701,1113,2209,68,1041,67,4173,,263,42,2345,2153,266,452,389,586,868,895,991,10,394,1339,49,656,46,1920,61,605,3832,189,4054,11,244,591,701,97,13,215,239,1023,436,117,123,118,183,8,206,97,102,1,2,2,20,41,14,80,4,9,3,213,,,,,,,,,,22
106010776,010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,General Acute Care Hospital,ALAMEDA,747 52ND ST,OAKLAND,94609,Non-profit Corporation (incl. Church-related),Level I - Pediatric,Emergency - Basic,,Teaching,200-299,District 9,District 15,Oakland West Central,Urban,277,168,8,13,4,,,19,156,,25850,,20418,95,142,4796,1052,26247,1,81,162,12611,13887,5,17887,7959,443,106,52,34,,,,22,34,1576,5917,1316,178,14325,226,2931,12819,13477,207,1136,18141,209,7017,453,1460,219,477,159,370,1571,832,817,5543,334,1196,30,756,19,51,2299,929,8799,1,,4,12,160,29,3,,,,38,12,19,4,,52,23,2,4574,,2422,10,1045,1196,55,4654,,21,53,2218,2510,94,,,,,,,1,332,786,275,2365,35,874,29,2105,2594,174,3485,30,1039,57,665,196,9,289,196,530,900,78,163,81,243,7,696,161,216,2,,1,,1712,14,47,71,17,31,,1,2921,122,,,,,,,40
106010846,010846,HIGHLAND HOSPITAL,General Acute Care Hospital,ALAMEDA,1411 E 31ST ST,OAKLAND,94602,City or County,Level I,Emergency - Basic,,,200-299,District 9,District 18,Oakland West Central,Urban,404,1392,19,166,58,9,2317,662,247,9,58500,262,39314,8788,5004,4266,6697,59484,11,4167,407,30343,33676,50,1045,3131,12439,13650,10966,10410,7834,3154,1401,39,201,3946,26994,2882,380,21935,383,7348,20661,42717,691,2730,47309,466,13564,3954,3929,230,823,953,820,2903,3728,2408,12529,4880,6558,159,2783,78,1352,2861,2798,10310,,17,7,,,13,,,,,383,564,407,1130,158,95,339,19,5865,1497,5696,3548,149,721,453,9314,2,1192,54,4342,6221,922,1397,1424,2084,2355,1360,881,11,1017,3990,624,2938,48,1838,122,2819,7626,772,7829,84,1882,1401,1324,122,21,630,504,1487,2364,475,243,297,378,13,561,284,285,3,36,71,4,133,33,79,3,35,29,111,,,,1,4,,,,,54
106010937,010937,ALTA BATES SUMMIT MEDICAL CENTER,General Acute Care Hospital,ALAMEDA,350 HAWTHORNE AVE,OAKLAND,94609,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 9,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,705,591,6,78,64,,14,14,749,94,25486,483,11592,8625,982,5533,1575,24951,24,2522,294,14800,13507,,105,605,3835,4699,3734,4339,4705,3550,2735,,64,3022,14275,250,353,3939,232,6172,3310,24675,322,2015,25192,162,938,2951,1622,175,234,653,228,423,1752,1190,4916,1993,2415,129,1403,12,445,1386,1056,5319,2,12,9,516,,5,,,,,201,295,361,2062,250,11,169,50,3209,1479,2001,4350,281,1376,87,7498,1,463,53,3938,4157,178,433,661,1187,1807,1827,1988,,1303,3572,57,806,44,2127,76,734,7285,1018,6678,68,331,1912,888,215,15,451,489,1917,636,91,119,254,344,9,429,85,215,,5,,80,14,24,162,2,8,16,,3,,,,,,,,,30
106010967,010967,ST. ROSE HOSPITAL,General Acute Care Hospital,ALAMEDA,27200 CALAROGA AVE,HAYWARD,94545,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,150-199,District 10,District 20,San Leandro West/San Lorenzo West/Hayward West,Urban,351,,,99,10,1,2,119,351,61,16790,154,9290,2917,2218,1956,1561,16977,,782,120,9266,8672,4,1207,1554,3143,3261,2662,2451,2006,1039,619,,36,2040,2819,176,605,8919,116,3231,8671,9177,94,1016,12629,1,4296,1164,1370,53,306,357,197,261,1286,675,3881,1271,1260,25,672,3,567,1006,845,2729,,1,3,58,13,1,,5,,,178,111,201,439,73,22,11,45,1463,602,1278,1452,43,287,85,2996,,132,16,1508,1637,128,244,301,480,747,647,577,1,593,469,22,1000,18,915,14,954,2177,366,2290,3,486,802,470,26,5,206,261,480,166,74,36,52,93,1,255,69,103,,,,,20,,128,1,2,12,31,,,,1,,,,,,17
106010987,010987,WASHINGTON HOSPITAL - FREMONT,General Acute Care Hospital,ALAMEDA,2000 MOWRY AVE,FREMONT,94538,District,,Emergency - Basic,,,300-499,District 10,District 20,Fremont East/Niles/Union City Central,Urban,124,,69,86,6,1,28,241,661,1,35607,259,14502,7890,1519,9988,3212,35453,83,1045,400,19419,17688,4,3476,3006,5713,6371,4894,4729,4011,2663,2246,2,82,11932,3812,704,400,10507,214,9460,8446,28418,247,2328,32718,294,1771,2594,1445,95,510,461,343,1524,2006,1979,7532,2225,2845,52,1461,23,855,2383,1323,7394,4,14,10,130,55,6,,,,,136,,348,1863,152,25,55,,2690,1133,1464,3748,27,1084,46,6219,16,119,46,3157,3247,131,293,454,880,1274,1388,1889,,2274,413,143,1181,51,2241,46,901,5457,1018,5009,90,287,1411,942,43,9,421,510,969,551,95,137,201,156,4,620,225,41,,1,1,4,29,,101,3,4,14,33,,66,15,,,35,,,,39
106014050,014050,STANFORD HEALTH CARE - VALLEYCARE,General Acute Care Hospital,ALAMEDA,5555 W LAS POSITAS BLVD,PLEASANTON,94588,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,150-199,District 7,District 16,Dublin/Pleasanton/Santa Rita/Sunol,Urban,530,,23,61,41,,41,697,746,2,22727,131,6542,5102,1405,9868,2096,23852,10,682,468,13032,11980,1,2011,1997,3493,4138,3374,3293,2610,2171,1926,,97,4155,2204,578,86,6408,111,11374,4563,20303,147,811,22782,70,1350,2439,1416,177,348,322,208,721,1487,984,5472,1482,1643,78,1035,24,582,1125,689,4722,,9,5,1,53,6,,,,,152,,225,873,135,9,28,1,1625,698,387,2142,322,799,125,3672,3,59,41,1864,1911,109,214,306,475,666,892,1062,,544,172,63,633,28,2320,31,446,3298,280,3318,,177,804,578,40,3,237,219,810,332,64,74,110,112,9,266,43,43,,,24,,22,,15,3,1,2,25,,29,,,,,5,,,18
106014132,014132,KAISER FOUNDATION HOSPITAL - FREMONT,General Acute Care Hospital,ALAMEDA,39400 PASEO PADRE PKWY,FREMONT,94538,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,100-149,District 10,District 25,Fremont East/Niles/Union City Central,Urban,381,631,6,53,507,,129,9,431,1,30186,230,3872,7857,646,19012,1240,32139,,353,122,16990,15633,4,2583,2317,4531,4924,3942,4348,3867,3105,3010,,125,10582,2854,386,422,7571,781,9906,7567,24268,792,1778,29235,62,1552,3426,1968,112,350,548,415,818,1824,1195,6744,1513,2322,101,1618,22,648,1233,875,6847,,57,6,2,43,5,,11,,,211,32,180,1242,158,10,18,,1522,446,191,2532,7,1056,41,3777,,43,7,1767,2060,109,174,250,459,702,891,1225,2,1089,293,14,576,23,1791,12,565,3250,300,3346,18,163,739,468,39,3,187,198,1222,275,81,42,59,94,,228,70,96,,5,,,15,,41,,4,4,18,,,,,,,3,,,16
106014233,014233,EDEN MEDICAL CENTER,General Acute Care Hospital,ALAMEDA,20103 LAKE CHABOT RD,CASTRO VALLEY,94546,Non-profit Corporation (incl. Church-related),Level II,Emergency - Basic,,,100-149,District 10,District 20,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,445,244,48,60,22,,19,130,493,120,25579,507,11487,6031,985,7582,1606,26272,,987,193,15263,12428,,1582,1787,4155,4732,3624,3783,3535,2364,2129,,86,2508,5757,513,1237,5438,109,12043,8441,19109,141,1126,24250,51,2264,2001,1527,137,299,354,301,476,1838,1200,5954,1368,2428,87,1168,9,819,1398,1081,5221,,13,11,239,22,3,,,,,404,179,319,1292,266,44,182,43,2550,1462,1642,3298,207,1464,147,6478,1,207,40,3251,3507,325,500,674,945,1346,1338,1575,1,781,1168,58,1033,33,3294,42,1310,5406,503,5757,21,477,1211,850,101,5,294,319,1446,1320,121,99,194,218,1,314,91,111,1,4,12,32,54,,391,1,2,15,45,,,,,,,,,,22
