oshpd_id2,oshpd_id,FACILITY_NAME,LICENSE_CATEGORY_DESC,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,TRAUMA_CENTER_DESC,ER_SERVICE_LEVEL_DESC,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,disp_Acute_Care,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Hospice_Care,disp_Invalid_Blank,disp_Not_Defined_Elsewhere,disp_Prison_Jail,disp_Psychiatric_Care,disp_Rehab,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Sex_Female,Sex_Male,Sex_Other_Unknown,Age_0_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Other_Unknown,racegrp_aman,racegrp_asian,racegrp_black,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,eth_Hispanic,eth_NonHispanic,eth_Other_Unknown,All_Other_Languages,English,PLS_Other_Unknown,Spanish,dx_Circulatory,dx_Congenital,dx_Digestive,dx_Diseases_of_the_Blood,dx_Ear,dx_Endocrine,dx_Eye,dx_Factors_Influencing_Health,dx_Genitourinary,dx_Infectious,dx_Injury_Poisoning,dx_MentalHealth,dx_Musculoskeletal,dx_Neoplasms,dx_Nervous_System,dx_Other_Unknown,dx_Pregnancy_Childbirth,dx_Respiratory,dx_Skin,dx_Symptoms_Signs_NEC,disp_CAH,disp_Childrens_or_Cancer,Zip_Blank_Invalid,Zip_Unknown,dx_Certain_Perinatal_Conditions,disp_Other,disp_Disaster_Care_Site,Unknown_inv_Payer,a_disp_Acute_Care,a_disp_Against_Medical_Advice,a_disp_Died,a_disp_Home_Health_Service,a_disp_Hospice_Care,a_disp_Psychiatric_Care,a_disp_Rehab,a_disp_Routine,a_disp_SN_IC_Care,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Zip_CA_Resident,a_Zip_Homeless,a_Zip_Out_of_State,a_Sex_Female,a_Sex_Male,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Other_Unknown,a_racegrp_asian,a_racegrp_black,a_racegrp_multirace,a_racegrp_other,a_racegrp_unknown,a_racegrp_white,a_Eth_Other_Unknown,a_eth_Hispanic,a_eth_NonHispanic,a_All_Other_Languages,a_English,a_PLS_Other_Unknown,a_Spanish,a_dx_Circulatory,a_dx_Digestive,a_dx_Diseases_of_the_Blood,a_dx_Ear,a_dx_Endocrine,a_dx_Eye,a_dx_Genitourinary,a_dx_Infectious,a_dx_Injury_Poisoning,a_dx_MentalHealth,a_dx_Musculoskeletal,a_dx_Neoplasms,a_dx_Nervous_System,a_dx_Other_Unknown,a_dx_Respiratory,a_dx_Skin,a_dx_Symptoms_Signs_NEC,a_disp_Not_Defined_Elsewhere,a_disp_Prison_Jail,a_disp_Residential_Care,a_Zip_Foreign,a_Zip_Unknown,a_Age_0_09,a_Age_10_19,a_racegrp_aman,a_racegrp_nhpi,a_dx_Congenital,a_dx_Factors_Influencing_Health,a_dx_Pregnancy_Childbirth,a_disp_Childrens_or_Cancer,a_sex_Oth_Unknown,a_dx_Certain_Perinatal_Condition,a_disp_CAH,a_disp_Other,a_Unknown_inv_Payer,a_Zip_Blank_Invalid,a_disp_Invalid_Blank,a_disp_Disaster_Care_Site,ED_STATIONS_ON_1231
106010735,010735,ALAMEDA HOSPITAL,General Acute Care Hospital,Alameda,2070 CLINTON AVE,ALAMEDA,94501,City or County,,Emergency - Basic,,,100-149,District 9,District 18,Alameda/Jack London Square/Oakland Inner Harbor,Urban,127,298,18,17,3,3,386,88,12,1,1,12576,49,6558,2736,780,2615,890,12944,13,364,258,7482,6083,14,488,843,2317,2482,1998,1785,1694,1170,801,1,53,1537,3295,443,80,3580,102,4489,3076,10202,301,777,11408,147,1247,823,1,643,81,240,170,171,307,850,700,2805,635,1167,26,675,8,216,970,615,2476,,,,,,,,,138,82,80,388,38,6,37,889,458,606,1255,19,181,55,2010,80,26,1076,1040,89,136,201,282,419,462,523,4,392,487,54,325,35,823,49,313,1754,300,1653,7,156,328,310,48,4,112,3,120,423,147,52,46,25,115,3,229,61,90,,,,,,,,,,,,,,,,,,,,,,12
106010739,010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,General Acute Care Hospital,Alameda,2450 ASHBY AVE,BERKELEY,94705,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 9,District 15,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,267,807,8,165,10,,24,134,977,3,55,27038,252,10127,7145,622,10000,1866,27145,51,1757,587,16977,12783,,565,1856,5949,5268,3785,3466,3500,2978,2393,,87,2930,8131,482,346,6033,522,11229,5346,23745,669,810,27071,180,1699,2344,10,1710,151,302,365,327,407,1888,1546,6018,2607,2124,97,1114,11,1274,1553,924,4963,1,19,1,219,25,,,,175,176,137,1109,97,62,56,2200,706,1120,2291,68,1179,100,4416,272,48,2491,2267,274,477,413,602,798,1061,1082,,424,1457,39,623,43,2052,90,571,4097,195,4308,34,221,640,733,128,15,221,10,262,1093,453,92,120,126,181,9,255,108,129,4,2,34,6,16,11,40,20,100,4,5,174,,,,,,,,,,22
106010776,010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,General Acute Care Hospital,Alameda,747 52ND ST,OAKLAND,94609,Non-profit Corporation (incl. Church-related),Level I - Pediatric,Emergency - Basic,,Teaching,150-199,District 9,District 15,Oakland West Central,Urban,239,176,18,9,,,,17,171,3,2,34413,,27386,111,143,6129,1293,34778,1,85,193,16195,18863,4,25135,9319,374,136,38,44,,,,16,79,2342,7125,1685,301,19659,279,3592,18062,16759,241,1636,22806,250,10370,431,35,2000,227,956,185,525,1715,850,2433,5897,324,1163,14,994,93,49,5692,962,10380,1,11,,5,137,2,,,32,13,22,4,3,33,29,4888,1,2494,13,1153,1295,73,4974,14,39,2323,2704,113,,,,,,,,418,755,311,2476,26,955,30,2184,2814,187,3732,33,1076,37,617,211,13,224,17,166,584,812,62,153,108,309,,1160,131,163,,,,1,,3372,1543,19,68,73,35,,3,1,153,,,,,,,40
106010846,010846,HIGHLAND HOSPITAL,General Acute Care Hospital,Alameda,1411 E 31ST ST,OAKLAND,94602,City or County,Level I,Emergency - Basic,,,200-299,District 9,District 18,Oakland West Central,Urban,352,1832,168,89,10,7,2121,699,403,6,1,60216,184,42096,8869,4495,4441,6194,61673,30,3898,494,31671,34386,38,1622,3335,12334,13995,11406,10235,8179,3388,1521,80,180,4350,26653,1474,518,24792,343,7785,23191,42168,736,3044,46643,686,15722,3861,8,3855,223,871,937,939,2002,3953,3029,12957,4850,6772,150,2975,57,1601,3713,2924,10405,,7,,,13,,,,560,634,366,1094,113,142,297,6113,1353,5707,3949,147,614,388,9648,1090,64,4365,6437,847,1326,1435,2070,2475,1502,1005,,1138,4239,298,3029,60,1887,113,2839,7853,841,7853,98,2013,1401,1324,111,13,721,31,519,1466,2378,477,239,307,372,3,707,273,310,36,97,,2,1,16,129,33,121,4,32,101,,3,16,,,,,,,53
106010937,010937,ALTA BATES SUMMIT MEDICAL CENTER,General Acute Care Hospital,Alameda,350 HAWTHORNE AVE,OAKLAND,94609,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 9,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,711,819,104,84,8,,31,21,697,7,95,26297,454,11715,8968,613,6072,1968,25789,22,2882,321,15451,13885,,152,660,3891,4906,3720,4474,4820,3656,3057,,76,3165,14310,286,449,4043,268,6739,3446,25483,407,2055,26020,201,1060,3032,7,1645,184,249,565,250,428,1831,1726,5105,2097,2442,134,1311,14,471,1676,993,5176,1,7,2,320,,,,,206,257,328,1963,242,7,171,3002,1369,1816,4165,146,1371,114,7060,491,54,3751,3861,174,438,563,1029,1700,1739,1949,,1291,3166,43,763,36,2162,63,707,6842,974,6252,62,324,1805,834,202,10,425,15,454,1741,624,94,106,268,299,,443,86,176,1,1,64,3,4,,20,16,135,4,12,14,1,,,,,,,,,30
106010967,010967,ST. ROSE HOSPITAL,General Acute Care Hospital,Alameda,27200 CALAROGA AVE,HAYWARD,94545,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,150-199,District 10,District 20,San Leandro West/San Lorenzo West/Hayward West,Urban,328,,77,4,1,,2,148,383,2,72,19004,60,11500,2884,1996,2182,1519,19120,3,720,136,10351,9716,14,1867,1944,3430,3530,2863,2583,2129,1093,642,,55,2357,2942,232,568,10664,181,3082,10165,9732,184,1169,13579,7,5326,1369,1,1326,34,439,292,250,291,1276,1017,3956,1196,1616,23,787,12,626,1543,859,3168,,,4,98,,,,,156,116,163,480,50,17,9,1600,595,1356,1498,16,302,88,3125,121,9,1463,1797,166,230,320,491,759,606,660,,671,541,30,985,30,881,23,900,2337,405,2357,1,497,760,498,35,9,238,3,238,579,176,81,29,46,103,1,275,51,109,,,74,1,4,,28,,122,,6,23,,,,,,,,,,17
106010987,010987,WASHINGTON HOSPITAL - FREMONT,General Acute Care Hospital,Alameda,2000 MOWRY AVE,FREMONT,94538,District,,Emergency - Basic,,,300-499,District 10,District 20,Fremont East/Niles/Union City Central,Urban,128,,73,4,15,2,30,341,619,6,2,42390,276,17948,9107,1679,12169,3061,42324,142,948,450,23222,20741,1,5740,3768,6229,7168,5554,5165,4410,3201,2729,,81,14812,4391,765,475,12216,263,10961,10157,33540,267,2786,38490,360,2328,2898,9,1535,127,791,506,462,1565,2185,3503,8355,2045,3166,70,1506,95,1076,3927,1470,8627,6,72,,100,46,,,,120,,398,2318,159,22,62,3323,1396,1741,4581,59,1282,56,7575,144,49,3979,3828,141,336,505,892,1599,1786,2390,,2979,462,128,1313,61,2784,63,1076,6668,1332,6027,119,329,1684,1062,46,20,463,7,593,1382,683,95,182,237,173,4,763,251,54,3,,,30,9,123,35,,80,6,18,62,3,,22,2,1,88,,,,39
106014050,014050,STANFORD HEALTH CARE TRI-VALLEY,General Acute Care Hospital,Alameda,5555 W LAS POSITAS BLVD,PLEASANTON,94588,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,150-199,District 7,District 16,Dublin/Pleasanton/Santa Rita/Sunol,Urban,642,,50,40,14,,147,954,516,5,2,26070,166,8069,5922,1351,11231,2047,27208,31,791,588,14834,13784,2,3049,2383,3728,4542,3601,3370,3106,2455,2377,9,183,5067,2366,590,122,7536,135,12621,5336,23087,197,1036,25769,1,1814,2782,6,1283,196,457,304,252,805,1468,1683,5905,1267,1872,68,1032,35,704,1773,756,5919,,14,,2,53,,,,111,,216,1091,142,9,28,1808,836,432,2483,384,859,122,4145,79,52,2106,2174,117,270,307,530,767,998,1262,,673,198,95,706,14,2551,30,491,3759,343,3735,27,175,879,633,39,5,278,4,259,877,413,83,92,111,106,7,342,63,53,,35,,4,,13,16,22,21,1,1,34,,,,,4,,,,,17
106014132,014132,KAISER FOUNDATION HOSPITAL - FREMONT,General Acute Care Hospital,Alameda,39400 PASEO PADRE PKWY,FREMONT,94538,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,100-149,District 10,District 25,Fremont East/Niles/Union City Central,Urban,535,1133,52,549,61,,87,3,446,11,4,35813,256,4945,8747,781,23017,1470,38558,,255,132,20314,18638,8,4357,2951,5309,5620,4572,4672,4435,3639,3405,,161,13417,3426,424,500,9175,826,11031,9170,29050,740,2201,34833,102,1824,3615,4,2381,153,604,581,508,859,1981,2087,7445,1438,2894,96,1679,25,637,2597,1146,8194,1,9,15,,36,,,,266,39,207,1243,164,18,22,1639,464,193,2627,16,1179,49,4011,41,12,1991,2073,100,170,270,477,733,917,1383,3,1275,292,,555,19,1896,3,536,3525,373,3550,8,133,790,480,47,4,220,1,216,1243,280,96,44,77,93,,259,65,130,,,1,,,,11,,27,1,3,15,,,,,1,,,,,18
106014233,014233,EDEN MEDICAL CENTER,General Acute Care Hospital,Alameda,20103 LAKE CHABOT RD,CASTRO VALLEY,94546,Non-profit Corporation (incl. Church-related),Level II,Emergency - Basic,,,100-149,District 10,District 20,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,386,343,47,37,11,,59,112,418,4,154,28959,480,12949,6490,793,8842,1988,29511,7,1150,252,17171,13891,,2554,2225,4529,4856,4011,4008,3888,2666,2325,,124,3131,6244,603,1299,6635,166,12860,10037,20840,185,1342,26780,68,2872,2030,5,1691,174,438,374,319,414,1895,1768,6511,1233,2470,76,1347,14,971,2387,1155,5769,,52,,142,21,,,,357,173,321,1381,254,39,126,2408,1429,1527,3269,162,1479,137,6279,244,40,3118,3456,320,504,529,864,1319,1394,1577,1,788,1184,88,1015,37,3097,49,1352,5173,545,5512,33,484,1102,722,112,9,340,13,344,1245,1380,103,105,189,234,1,352,118,138,3,16,67,5,6,,66,15,350,2,10,55,,,,,,,,,,22
