ID,NAME,STATE_NAME,ST_ABBREV,esri_dma_P,TOTPOP_CY,TtlHsptls,Circ10,Circ11,Circ12,Circ13,Circ14,Circ15,Circ16,Circ17,Circ18,Circ19,Circ20,Circ21,Circ22,CircWtd10,CircWtd11,CircWtd12,CircWtd13,CircWtd14,CircWtd15,CircWtd16,CircWtd17,CircWtd18,CircWtd19,CircWtd20,CircWtd21,CircWtd22,OBJECTID_2,FastFood,ID_12,McD10,McD11,McD12,McD13,McD14,McD15,McD16,McD17,McD18,McD19,McD20,McD21,McD22,TB10,TB11,TB12,TB13,TB14,TB15,TB16,TB17,TB18,TB19,TB20,TB21,TB22,BK10,BK11,BK12,BK13,BK14,BK15,BK16,BK17,BK18,BK19,BK20,BK21,BK22,CJ10,CJ11,CJ12,CJ13,CJ14,CJ15,CJ16,CJ17,CJ18,CJ19,CJ20,CJ21,CJ22,JITB10,JITB11,JITB12,JITB13,JITB14,JITB15,JITB16,JITB17,JITB18,JITB19,JITB20,JITB21,JITB22,KFC10,KFC11,KFC12,KFC13,KFC14,KFC15,KFC16,KFC17,KFC18,KFC19,KFC20,KFC21,KFC22,Shape_Leng,COUNT_Intscts,OBJECTID_12,Join_Count,TARGET_FID,Hsptls10,Hsptls11,Hsptls12,Hsptls13,Hsptls14,Hsptls16,Hsptls17,Hsptls18,Hsptls19,Hsptls20,Hsptls21,Hsptls22,OBJECTID_1,NAME_1,P_AGE_2010,P_AGE_2011,P_AGE_2012,P_AGE_2013,P_AGE_2014,P_AGE_2015,P_AGE_2016,P_AGE_2017,P_AGE_2018,P_AGE_2019,P_AGE_2020,P_AGE_2021,P_AGE_2022,P_WHTE_2010,P_WHTE_2011,P_WHTE_2012,P_WHTE_2013,P_WHTE_2014,P_WHTE_2015,P_WHTE_2016,P_WHTE_2017,P_WHTE_2018,P_WHTE_2019,P_WHTE_2020,P_WHTE_2021,P_WHTE_2022,P_BIPOC10,P_BIPOC11,P_BIPOC12,P_BIPOC13,P_BIPOC14,P_BIPOC15,P_BIPOC16,P_BIPOC17,P_BIPOC18,P_BIPOC19,P_BIPOC20,P_BIPOC21,P_BIPOC22,OBJECTID_12_13,ID_1,NAME_12,Hsptls10_1,Hsptls11_1,Hsptls12_1,Hsptls13_1,Hsptls14_1,Hsptls16_1,Hsptls17_1,Hsptls18_1,Hsptls19_1,Hsptls20_1,Hsptls21_1,Hsptls22_1,Shape_Length,Shape_Area
771,"Yuma, AZ-El Centro, CA",Arizona,AZ,10000.605600000000777,374355,4,3125,3007,3231,3596,3575,0,3538,3241,3560,7425,4979,5574,6002,5727.744276837918733,5545.750133249234750,5977.908934485373720,6648.867325883249578,6626.911377340968102,0.000000000000000,6577.112837081680482,6009.686702664213954,6608.146210803576651,13812.642893418484164,9266.194602656223651,10417.320669384955181,11259.860268736018043,14,"Yuma AZ-El Centro, CA",771,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.299493163000000,0.139310229000000,0.356591672000000,0.000000000000000,0.270231217000000,0.180140200000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.047125940000000,0.000000000000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3108889.635189999826252,32,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,14,"Yuma, AZ-El Centro, CA",0.545590000000000,0.542217000000000,0.540490000000000,0.540844000000000,0.539467000000000,0.537111000000000,0.537926000000000,0.539296000000000,0.538729000000000,0.537551000000000,0.537329531000000,0.535070406000000,0.533043915000000,0.146593000000000,0.142245000000000,0.137675000000000,0.133932000000000,0.129733000000000,0.125954000000000,0.119357000000000,0.113244000000000,0.109759000000000,0.106448000000000,0.101855357000000,0.097250418000000,0.095674474000000,0.853407000000000,0.857755000000000,0.862325000000000,0.866068000000000,0.870267000000000,0.874046000000000,0.880643000000000,0.886756000000000,0.890241000000000,0.893552000000000,0.898144643000000,0.902749582000000,0.904325526000000,1,771,"Yuma, AZ-El Centro, CA",2,2,2,2,2,2,2,2,2,2,2,2,3108889.635193855967373,283954624647.821716308593750
866,"Fresno-Visalia, CA",California,CA,17835.825899999999820,1965322,46,16227,27765,27918,27598,28547,0,30534,31421,33322,68968,52136,56461,60120,28955.999443256805534,49663.454744814094738,50077.579171113648044,49631.602515569444222,51568.627805185584293,0.000000000000000,55644.649847284286807,57507.174441418494098,61276.317168659741583,127325.460107409162447,96654.283500902834930,105101.893801875252393,112449.232033468841109,4,"Fresno-Visalia, CA",866,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.060784467000000,0.065086256000000,0.113807402000000,0.244533912000000,0.160576539000000,0.112219602000000,0.121604047000000,0.164290544000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.072889760000000,0.000000000000000,0.068779312000000,0.086891338000000,0.067623874000000,0.050756267000000,0.040712672000000,0.000000000000000,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.033956225000000,0.085324520000000,0.097646737000000,0.000000000000000,0.061317825000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.068370396000000,0.048971182000000,0.000000000000000,0.035385087000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.000000000000000,0.045453097000000,0.041576962000000,0.043895647000000,0.038255903000000,3576517.131159999873489,402,2,46,2,10,16,16,16,15,15,15,15,14,15,15,15,4,"Fresno-Visalia, CA",0.560402000000000,0.559063000000000,0.557495000000000,0.556057000000000,0.553573000000000,0.550895000000000,0.548732000000000,0.546384000000000,0.543799000000000,0.541667000000000,0.539407030000000,0.537202499000000,0.534641268000000,0.350291000000000,0.343094000000000,0.336419000000000,0.330683000000000,0.324978000000000,0.319724000000000,0.314845000000000,0.309049000000000,0.304278000000000,0.299759000000000,0.292370564000000,0.284020758000000,0.278016599000000,0.649709000000000,0.656906000000000,0.663581000000000,0.669317000000000,0.675022000000000,0.680276000000000,0.685155000000000,0.690951000000000,0.695722000000000,0.700241000000000,0.707629436000000,0.715979242000000,0.721983401000000,2,866,"Fresno-Visalia, CA",10,16,16,16,15,15,15,15,14,15,15,15,3576517.131159107666463,499672246877.163452148437500
800,"Bakersfield, CA",California,CA,5797.427300000000287,767219,21,11313,11573,11993,12191,12760,0,13343,14763,15460,32568,25474,27029,26032,19965.761886272986885,20479.053783838306117,21201.407180865167902,21536.814508863113588,22616.935405252588680,0.000000000000000,23754.631022554705851,26410.227053174665343,27805.805406124829460,58782.016688114912540,46177.087997711976641,49272.612892663608363,47705.029714898948441,1,"Bakersfield, CA",800,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.184188295000000,0.118994154000000,0.072846584000000,0.168197858000000,0.167543354000000,0.222804985000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.079545653000000,0.000000000000000,0.039898418000000,0.000000000000000,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2231223.778510000091046,148,3,21,3,8,8,8,8,8,8,8,9,8,8,8,8,1,"Bakersfield, CA",0.566620000000000,0.565114000000000,0.565670000000000,0.566054000000000,0.564179000000000,0.562460000000000,0.561701000000000,0.558988000000000,0.555999000000000,0.554047000000000,0.551658866000000,0.548560314000000,0.545686695000000,0.377242000000000,0.368134000000000,0.360959000000000,0.354306000000000,0.348113000000000,0.343798000000000,0.337483000000000,0.332051000000000,0.327334000000000,0.320135000000000,0.310068953000000,0.300429181000000,0.294622703000000,0.622758000000000,0.631866000000000,0.639041000000000,0.645694000000000,0.651887000000000,0.656202000000000,0.662517000000000,0.667949000000000,0.672666000000000,0.679865000000000,0.689931047000000,0.699570819000000,0.705377297000000,3,800,"Bakersfield, CA",8,8,8,8,8,8,8,9,8,8,8,8,2231223.778505424968898,163006279028.147979736328125
802,"Eureka, CA",California,CA,4597.406899999999951,163633,10,2876,3077,3555,3527,3724,0,3835,3860,3906,6977,5156,5252,5881,6157.970353526594408,6581.297309089975897,7598.946621407867497,7572.211893117381805,8010.583262527291481,0.000000000000000,8302.950524374084125,8442.657731156032241,8569.830073389866811,15435.123589390757843,11462.420108865957445,11735.741797144954035,13234.875253311653069,3,"Eureka, CA",802,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2591867.538110000081360,43,4,10,4,5,5,5,5,5,5,5,5,5,5,5,5,3,"Eureka, CA",0.467037000000000,0.467537000000000,0.467828000000000,0.465782000000000,0.464885000000000,0.464336000000000,0.461884000000000,0.457202000000000,0.455785000000000,0.452021000000000,0.449817748000000,0.447521775000000,0.444356285000000,0.764951000000000,0.760248000000000,0.754124000000000,0.749142000000000,0.743553000000000,0.737652000000000,0.734123000000000,0.729153000000000,0.725582000000000,0.722878000000000,0.716800330000000,0.703864182000000,0.701273316000000,0.235049000000000,0.239752000000000,0.245876000000000,0.250858000000000,0.256447000000000,0.262348000000000,0.265877000000000,0.270847000000000,0.274418000000000,0.277122000000000,0.283199670000000,0.296135818000000,0.298726684000000,4,802,"Eureka, CA",5,5,5,5,5,5,5,5,5,5,5,5,2591867.538110537920147,128154049173.275588989257812
803,"Los Angeles, CA",California,CA,48995.611900000003516,17642805,358,135864,267323,271336,269900,275694,0,289477,297510,308426,641357,457218,505757,527480,264821.972598574357107,524484.634687563171610,535464.645866635022685,536226.586030691512860,551888.010537546942942,0.000000000000000,587067.269666795153171,607118.660669828299433,632895.911352793336846,1325098.603945810580626,951458.322273395257071,1061284.855102491565049,1117196.259799411054701,5,"Los Angeles, CA",803,0.000000000000000,0.000000000000000,0.039719195000000,0.144259835000000,0.023683175000000,0.110929759000000,0.151658050000000,0.281190803000000,0.259181821000000,0.262843721000000,0.228328255000000,0.230022114000000,0.279177330000000,0.000000000000000,0.009963353000000,0.000000000000000,0.000000000000000,0.034627586000000,0.082616287000000,0.034583022000000,0.050339320000000,0.044354658000000,0.036242377000000,0.036843642000000,0.037597235000000,0.020402600000000,0.000000000000000,0,0,0,0,0.023282262000000,0.038358018000000,0.041428543000000,0.013673926000000,0.041382392000000,0.053261857000000,0.042820608000000,0.029294591000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.019230769000000,0,0,0.019573607000000,0.051993285000000,0.047369146000000,0.048413077000000,0.043406275000000,0.057411266000000,0.053254555000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.021702549000000,0.016617261000000,0.032826462000000,0.020625666000000,0.021557201000000,9275251.665540000423789,3871,5,358,5,76,139,140,140,137,139,140,138,136,136,135,133,5,"Los Angeles, CA",0.513039000000000,0.509687000000000,0.506730000000000,0.503332000000000,0.499547000000000,0.495878000000000,0.493090000000000,0.490036000000000,0.487325000000000,0.484007000000000,0.480544433000000,0.476551604000000,0.472146228000000,0.341784000000000,0.337051000000000,0.332475000000000,0.328628000000000,0.324324000000000,0.320355000000000,0.316974000000000,0.312758000000000,0.309417000000000,0.306280000000000,0.301111008000000,0.294481660000000,0.290241842000000,0.658216000000000,0.662949000000000,0.667525000000000,0.671372000000000,0.675676000000000,0.679645000000000,0.683026000000000,0.687242000000000,0.690583000000000,0.693720000000000,0.698888992000000,0.705518340000000,0.709758158000000,5,803,"Los Angeles, CA",76,139,140,140,137,139,140,138,136,136,135,133,9275251.665540754795074,1379038104475.180419921875000
804,"Palm Springs, CA",California,CA,1338.020800000000008,429617,8,0,9246,9748,9521,9775,0,10187,11120,11034,19618,14794,16387,17992,0.000000000000000,20688.868153776958934,21874.796634853813885,21236.210180711874273,21900.001568286555994,0.000000000000000,23719.989102822324639,26775.695758749054221,27925.764136880283331,51248.158326454271446,39301.328848486919014,44237.505793805328722,47366.797658204690379,8,"Palm Springs, CA",804,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.085315767000000,0.000000000000000,0.000000000000000,0.000000000000000,0.296440669000000,0.000000000000000,0.082756137000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1176329.366810000035912,115,6,8,6,0,3,3,3,3,3,3,3,3,3,3,3,8,"Palm Springs, CA",0.444720000000000,0.446907000000000,0.445627000000000,0.448338000000000,0.446347000000000,0.443006000000000,0.429469000000000,0.415302000000000,0.395119000000000,0.382804000000000,0.376424931000000,0.370432277000000,0.379844129000000,0.443739000000000,0.431861000000000,0.425156000000000,0.413009000000000,0.400997000000000,0.400430000000000,0.404450000000000,0.406719000000000,0.408018000000000,0.414721000000000,0.409346333000000,0.401102431000000,0.386853796000000,0.556261000000000,0.568139000000000,0.574844000000000,0.586991000000000,0.599003000000000,0.599570000000000,0.595550000000000,0.593281000000000,0.591982000000000,0.585279000000000,0.590653667000000,0.598897569000000,0.613146204000000,6,804,"Palm Springs, CA",0,3,3,3,3,3,3,3,3,3,3,3,1176329.366814231965691,37859726901.898513793945312
807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,159,42662,104278,106934,109420,109794,0,111734,114358,117598,243558,181850,205381,215251,92755.576814367086627,227679.234242495673243,234258.311992446513614,240778.801255165657494,242716.987138391617918,0.000000000000000,248480.549026061402401,255400.214400571741862,263499.539540167548694,548718.422410316532478,412395.179934208048508,470352.018549211905338,498647.453155660012271,12,"San Francisco-Oakland-San Jose, CA",807,0.000000000000000,0.000000000000000,0.068459100000000,0.108694872000000,0.169938237000000,0.120014223000000,0.099644705000000,0.264367422000000,0.181632324000000,0.197682946000000,0.134119373000000,0.246366642000000,0.269626322000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.047199126000000,0.116736465000000,0.034073767000000,0.049814952000000,0.046648045000000,0.138536752000000,0.035051249000000,0.038268614000000,0.022779071000000,0.000000000000000,0,0,0,0,0.040228213000000,0.059883551000000,0.045354778000000,0.015948793000000,0.051371245000000,0.059379773000000,0.060216479000000,0.043544542000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.014257402000000,0.021367103000000,0.034377608000000,0.101384652000000,0.021838500000000,0.049630528000000,0.039487705000000,NA,NA,0,0,NA,0.010600050000000,0,0,0.024799710000000,0.019785466000000,0.025069784000000,0.019241928000000,0.031513993000000,7184540.982569999992847,1589,7,159,7,22,63,64,64,69,64,64,64,64,62,62,62,12,"San Francisco-Oakland-San Jose, CA",0.459940000000000,0.458004000000000,0.456479000000000,0.454442000000000,0.452354000000000,0.450488000000000,0.449669000000000,0.447760000000000,0.446293000000000,0.443867000000000,0.440960537000000,0.436653808000000,0.431669707000000,0.441402000000000,0.435109000000000,0.429003000000000,0.424112000000000,0.418496000000000,0.414039000000000,0.410371000000000,0.405036000000000,0.400953000000000,0.396794000000000,0.388259955000000,0.380187180000000,0.372782495000000,0.558598000000000,0.564891000000000,0.570997000000000,0.575888000000000,0.581504000000000,0.585961000000000,0.589629000000000,0.594964000000000,0.599047000000000,0.603206000000000,0.611740045000000,0.619812820000000,0.627217505000000,7,807,"San Francisco-Oakland-San Jose, CA",22,63,64,64,69,64,64,64,64,62,62,62,7184540.982568296603858,311267857009.972229003906250
811,"Reno, NV",Nevada,NV,48642.682999999997264,724496,5,879,1010,985,1086,1082,0,1199,1238,1229,2575,1931,2226,2425,1869.675731438841922,2141.395723569134134,2120.299554198946680,2390.817148719394027,2392.196398882167614,0.000000000000000,2639.347185320034896,2712.211964403860748,2673.517600838818908,5668.360203928888950,4401.570729349501562,5172.894782409175605,5678.376564082481309,9,"Reno, NV",811,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.068558676000000,0.079353928000000,0.000000000000000,0.000000000000000,0.087210984000000,0.052769602000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6574170.866519999690354,50,8,5,8,2,3,3,3,3,3,3,3,3,3,3,3,9,"Reno, NV",0.470135000000000,0.471655000000000,0.464557000000000,0.454238000000000,0.452304000000000,0.452295000000000,0.454279000000000,0.456454000000000,0.459694000000000,0.454276000000000,0.438707025000000,0.430319984000000,0.427058680000000,0.682357000000000,0.671061000000000,0.662161000000000,0.660340000000000,0.661159000000000,0.653366000000000,0.655932000000000,0.677023000000000,0.669274000000000,0.652362000000000,0.658354121000000,0.648424829000000,0.641045029000000,0.317643000000000,0.328939000000000,0.337839000000000,0.339660000000000,0.338841000000000,0.346634000000000,0.344068000000000,0.322977000000000,0.330726000000000,0.347638000000000,0.341645879000000,0.351575171000000,0.358954971000000,8,811,"Reno, NV",2,3,3,3,3,3,3,3,3,3,3,3,6574170.866524543613195,1356521117580.395507812500000
813,"Medford-Klamath Falls, OR",Oregon,OR,26918.358700000000681,430049,6,0,854,914,1045,989,0,1046,970,1079,1918,1521,1791,1624,0.000000000000000,2293.713506051213699,2445.419520547945467,2784.275901759022872,2634.452998055459375,0.000000000000000,2786.012406544732130,2608.676943598790785,2902.308666847780387,5139.128920327424566,4094.290701929343413,4838.154977082286678,4404.103101094960948,6,"Medford-Klamath Falls, OR",813,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.147956435000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.125183032000000,0.000000000000000,0.062341278000000,0.000000000000000,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.123524966000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5532416.146209999918938,26,9,6,9,0,2,2,2,2,2,2,2,2,2,2,2,6,"Medford-Klamath Falls, OR",0.370798000000000,0.372322000000000,0.373760000000000,0.375322000000000,0.375410000000000,0.373323000000000,0.375447000000000,0.371836000000000,0.371773000000000,0.373215000000000,0.371492918000000,0.370182437000000,0.368747044000000,0.802282000000000,0.798621000000000,0.794685000000000,0.789900000000000,0.785091000000000,0.780132000000000,0.776219000000000,0.771581000000000,0.766879000000000,0.761042000000000,0.755538667000000,0.748386333000000,0.742105804000000,0.197718000000000,0.201379000000000,0.205315000000000,0.210100000000000,0.214909000000000,0.219868000000000,0.223781000000000,0.228419000000000,0.233121000000000,0.238958000000000,0.244461333000000,0.251613667000000,0.257894196000000,9,813,"Medford-Klamath Falls, OR",0,2,2,2,2,2,2,2,2,2,2,2,5532416.146211541257799,750929057601.302124023437500
825,"San Diego, CA",California,CA,4239.051900000000387,3110401,46,0,44040,44407,45913,47216,0,48332,49569,51766,107240,80930,91208,93797,0.000000000000000,87065.856898842277587,88044.491147371969419,91365.517790336714825,94323.904805093348841,0.000000000000000,97414.088481306054746,100431.965442764572799,105511.393746687870589,220195.843711051478749,167543.335322792263469,190509.551390444423305,197753.064980123977875,11,"San Diego, CA",825,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.031876273000000,0.000000000000000,0.205184421000000,0.068849003000000,0.199014612000000,0.084987682000000,0.248048733000000,0.105390174000000,0.130500062000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.035118582000000,0.042562231000000,0.041153730000000,0.020434529000000,0.000000000000000,0,0,0,0,0.036068878000000,0.000000000000000,0.000000000000000,0.013090438000000,0.053205933000000,0.063338424000000,0.036325184000000,0.025390761000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.073679667000000,0.083977459000000,0.049739463000000,0.060221318000000,0.056227107000000,0.069773410000000,NA,NA,0,0,NA,0.028238562000000,0,0,0.000000000000000,0.022726549000000,0.030519738000000,0.018143534000000,0.000000000000000,2026915.500500000081956,635,10,46,10,0,16,16,16,16,15,15,15,15,15,16,15,11,"San Diego, CA",0.507314000000000,0.505824000000000,0.504370000000000,0.502520000000000,0.500573000000000,0.498370000000000,0.496150000000000,0.493558000000000,0.490620000000000,0.487021000000000,0.483039208000000,0.478758148000000,0.474313761000000,0.494702000000000,0.488304000000000,0.482824000000000,0.477844000000000,0.472663000000000,0.468156000000000,0.465109000000000,0.460033000000000,0.456930000000000,0.453845000000000,0.447530566000000,0.440213160000000,0.434568145000000,0.505298000000000,0.511696000000000,0.517176000000000,0.522156000000000,0.527337000000000,0.531844000000000,0.534891000000000,0.539967000000000,0.543070000000000,0.546155000000000,0.552469434000000,0.559786840000000,0.565431855000000,10,825,"San Diego, CA",0,16,16,16,16,15,15,15,15,15,16,15,2026915.500499567948282,120281554109.922897338867188
